N, method, s_mean, s_std
150, DDSCAT (MKL), [1.00000529 1.10332175 1.21354081 1.17600333 1.19523675 1.12983856], [0.00281713 0.00134536 0.04059492 0.03234373 0.02014069 0.03990404]
150, DDSCAT (GPFA), [1.00285179 1.11995486 1.15286628 1.14947041 1.14931923 1.15816072], [0.06452573 0.00397633 0.01097996 0.02239414 0.01473417 0.00305017]
150, ADDA (FFTW), [1.00000733 1.42760254 2.28280552 2.18466476 2.31253653        nan], [0.00331332 0.03669385 0.09516123 0.03492549 0.02494623        nan]
150, ADDA (GPFA), [1.00005204 1.52702551 2.2788538  2.14384845 2.03413081        nan], [0.00883381 0.02552878 0.04959846 0.03374337 0.01283691        nan]
150, IFDDA (FFTW), [1.00000376 1.46472147 2.65807805 2.51454692 2.63603995 2.30250894], [0.00274395 0.02259074 0.01633946 0.02004606 0.05255267 0.06815839]
250, DDSCAT (MKL), [1.00003768 1.11236684 1.16063155 1.20094465 1.20749752 1.197168  ], [0.00752635 0.01137071 0.07429443 0.01360195 0.00838303 0.00675345]
250, DDSCAT (GPFA), [1.00005069 1.05993214 1.11377435 1.11612714 1.11422531 1.11178776], [0.01006923 0.00447789 0.01297418 0.00929059 0.00375836 0.01148714]
250, ADDA (FFTW), [1.00004107 1.5833724  2.71976564 2.57441084 2.51418097        nan], [0.00784984 0.02740421 0.04605957 0.08302151 0.0114027         nan]
250, ADDA (GPFA), [1.00013255 1.18667753 2.26305732 2.17553108 1.87730118        nan], [0.0140675  0.07890559 0.00570027 0.00627922 0.00413971        nan]
250, IFDDA (FFTW), [1.00108022 1.58485096 2.85998818 3.04928746 3.32271155 3.27551706], [0.04650556 0.07846039 0.1139173  0.01675014 0.01516956 0.02816149]
