N,gpu,series,solver_mean,total_mean,matvec_mean
150,NVIDIA A100,OCL BiCGStab,11.007533333333333,13.951633333333334,5.926099999999999
150,NVIDIA A100,OCL BiCG,14.268866666666668,17.0749,7.379033333333333
150,NVIDIA A100,OCL_BLAS BiCG,3.5288,7.047866666666667,0.059500000000000004
150,NVIDIA H200,OCL BiCGStab,15.1581,18.326633333333334,4.897233333333333
150,NVIDIA H200,OCL BiCG,18.236866666666668,21.1923,5.709866666666667
150,NVIDIA H200,OCL_BLAS BiCG,2.1123333333333334,6.2352,0.06723333333333333
150,RTX 2000 Ada,OCL BiCGStab,40.107166666666664,43.5739,32.993433333333336
150,RTX 2000 Ada,OCL BiCG,50.056533333333334,53.52446666666666,40.78796666666667
150,RTX 2000 Ada,OCL_BLAS BiCG,37.23943333333333,40.687000000000005,0.060700000000000004
250,NVIDIA A100,OCL BiCGStab,57.62756666666667,71.5466,34.24243333333333
250,NVIDIA A100,OCL BiCG,71.24306666666666,84.91903333333335,39.7377
250,NVIDIA A100,OCL_BLAS BiCG,25.392566666666667,40.4673,0.09273333333333333
250,NVIDIA H200,OCL BiCGStab,74.82213333333333,91.07459999999999,25.138433333333335
250,NVIDIA H200,OCL BiCG,92.71946666666668,108.67006666666667,29.383300000000002
250,NVIDIA H200,OCL_BLAS BiCG,14.358333333333334,31.775733333333335,0.09693333333333333
250,RTX 2000 Ada,OCL BiCGStab,222.1795,240.35036666666667,189.66049999999998
250,RTX 2000 Ada,OCL BiCG,273.7037,292.2221666666667,231.51059999999998
250,RTX 2000 Ada,OCL_BLAS BiCG,,,
