N,exe,solver,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
150,adda_ocl,bicg,1,0.5917547765246106,7.548867093209214e-05,24730435.986495957,3.58909421023902,0:52.01,131,131,51.9614,48.6657,39.3629
150,adda_ocl,bicg,2,0.5917547765246106,7.548867093209214e-05,24730435.986495957,3.58909421023902,0:54.18,131,131,54.1284,50.5711,41.3424
150,adda_ocl,bicg,3,0.5917547765246106,7.548867093209214e-05,24730435.986495957,3.58909421023902,0:54.53,131,131,54.4836,50.9328,41.6586
150,adda_ocl_blas,bicg,1,0.5917547765240844,7.54886709681125e-05,24730435.9864926,3.589094210238533,0:40.86,131,131,40.8042,37.3142,0.0608
150,adda_ocl_blas,bicg,2,0.5917547765240844,7.54886709681125e-05,24730435.9864926,3.589094210238533,0:40.65,131,131,40.5872,37.165,0.0604
150,adda_ocl_blas,bicg,3,0.5917547765240844,7.54886709681125e-05,24730435.9864926,3.589094210238533,0:40.91,131,131,40.6696,37.2391,0.0609
150,adda_ocl,bicgstab,1,0.5608136304853204,9.345877738460722e-05,24729875.277383056,3.5890128352955366,0:43.95,54,107,43.8951,40.3368,33.2223
150,adda_ocl,bicgstab,2,0.5608136304853204,9.345877738460722e-05,24729875.277383056,3.5890128352955366,0:43.25,54,107,43.193,39.7565,32.6527
150,adda_ocl,bicgstab,3,0.5608136304853204,9.345877738460722e-05,24729875.277383056,3.5890128352955366,0:43.69,54,107,43.6336,40.2282,33.1053
250,adda_ocl,bicg,1,0.5917796227066026,7.617154451995244e-05,24730587.62678311,3.589116217585632,4:52.17,131,131,292.1113,273.7462,231.5096
250,adda_ocl,bicg,2,0.5917796227066026,7.617154451995244e-05,24730587.62678311,3.589116217585632,4:52.09,131,131,292.0396,273.3484,231.1316
250,adda_ocl,bicg,3,0.5917796227066026,7.617154451995244e-05,24730587.62678311,3.589116217585632,4:52.57,131,131,292.5156,274.0165,231.8906
250,adda_ocl,bicgstab,1,0.5608093949958288,8.876104242997334e-05,24730049.766896885,3.5890381587190343,3:59.64,54,107,239.5668,220.5016,188.0236
250,adda_ocl,bicgstab,2,0.5608093949958288,8.876104242997334e-05,24730049.766896885,3.5890381587190343,4:00.77,54,107,240.7178,222.7875,190.2429
250,adda_ocl,bicgstab,3,0.5608093949958288,8.876104242997334e-05,24730049.766896885,3.5890381587190343,4:00.82,54,107,240.7665,223.2494,190.715
