JOBID,N,partition,exe,OMP,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
1595251,150,gpu_all,ifdda_gpu,2,1,0.5608136304886872,8.274088604580801e-05,2.472987527737802e-11,0:12.46,54,110,11.95,3.169
1595253,150,gpu_all,ifdda_gpu,10,1,0.5608136304886872,8.274088604580801e-05,2.472987527738016e-11,0:06.00,54,110,5.486,3.169
1595267,150,gpu_all,ifdda_gpu,2,2,0.5608136304886872,8.274088604580801e-05,2.472987527737802e-11,0:12.43,54,110,11.914,3.165
1595269,150,gpu_all,ifdda_gpu,10,2,0.5608136304886872,8.274088604580801e-05,2.4729875277380165e-11,0:05.99,54,110,5.469,3.173
1595283,150,gpu_all,ifdda_gpu,2,3,0.5608136304886872,8.274088604580801e-05,2.472987527737802e-11,0:12.43,54,110,11.915,3.163
1595285,150,gpu_all,ifdda_gpu,10,3,0.5608136304886872,8.274088604580801e-05,2.4729875277380168e-11,0:06.03,54,110,5.5120000000000005,3.165
1595250,150,gpu_h200,ifdda_gpu,2,1,0.5608136304886872,8.274088604580801e-05,2.472987527737802e-11,0:10.14,54,110,9.374,2.368
1595252,150,gpu_h200,ifdda_gpu,10,1,0.5608136304886872,8.274088604580801e-05,2.4729875277380165e-11,0:04.93,54,110,4.168,2.341
1595266,150,gpu_h200,ifdda_gpu,2,2,0.5608136304886872,8.274088604580801e-05,2.472987527737802e-11,0:10.11,54,110,9.342,2.351
1595268,150,gpu_h200,ifdda_gpu,10,2,0.5608136304886872,8.274088604580801e-05,2.472987527738016e-11,0:04.89,54,110,4.144,2.332
1595282,150,gpu_h200,ifdda_gpu,2,3,0.5608136304886872,8.274088604580801e-05,2.472987527737802e-11,0:10.09,54,110,9.321,2.341
1595284,150,gpu_h200,ifdda_gpu,10,3,0.5608136304886872,8.274088604580801e-05,2.4729875277380165e-11,0:04.92,54,110,4.158,2.331
1595255,150,gpu_all,ifdda_gpu_sp,2,1,0.5608136057853698,8.967598114395514e-05,2.47298765713558e-11,0:11.78,54,110,11.275,2.55
1595257,150,gpu_all,ifdda_gpu_sp,10,1,0.5608136057853698,8.967598114395514e-05,2.4729876571355616e-11,0:05.35,54,110,4.84,2.535
1595271,150,gpu_all,ifdda_gpu_sp,2,2,0.5608136057853698,8.967598114395514e-05,2.47298765713558e-11,0:11.82,54,110,11.305,2.556
1595273,150,gpu_all,ifdda_gpu_sp,10,2,0.5608136057853698,8.967598114395514e-05,2.4729876571355616e-11,0:05.35,54,110,4.855,2.549
1595287,150,gpu_all,ifdda_gpu_sp,2,3,0.5608136057853698,8.967598114395514e-05,2.47298765713558e-11,0:11.81,54,110,11.31,2.544
1595289,150,gpu_all,ifdda_gpu_sp,10,3,0.5608136057853698,8.967598114395514e-05,2.472987657135561e-11,0:05.40,54,110,4.893,2.54
1595254,150,gpu_h200,ifdda_gpu_sp,2,1,0.5608136057853698,8.538172551197931e-05,2.472987531107991e-11,0:10.22,54,110,9.466,2.471
1595256,150,gpu_h200,ifdda_gpu_sp,10,1,0.5608136057853698,8.538172551197931e-05,2.472987531107807e-11,0:05.04,54,110,4.292,2.421
1595270,150,gpu_h200,ifdda_gpu_sp,2,2,0.5608136057853698,8.538172551197931e-05,2.472987531107991e-11,0:10.23,54,110,9.462,2.468
1595272,150,gpu_h200,ifdda_gpu_sp,10,2,0.5608136057853698,8.538172551197931e-05,2.4729875311078062e-11,0:05.05,54,110,4.295,2.425
1595286,150,gpu_h200,ifdda_gpu_sp,2,3,0.5608136057853698,8.538172551197931e-05,2.472987531107991e-11,0:10.18,54,110,9.429,2.438
1595288,150,gpu_h200,ifdda_gpu_sp,10,3,0.5608136057853698,8.538172551197931e-05,2.4729875311078062e-11,0:05.02,54,110,4.234,2.408
1595259,250,gpu_all,ifdda_gpu,2,1,0.5608093949958238,8.3519143059268e-05,2.4730049767179517e-11,0:55.78,54,110,55.164,15.466
1595261,250,gpu_all,ifdda_gpu,10,1,0.5608093949958238,8.3519143059268e-05,2.47300497671792e-11,0:25.81,54,110,25.193,15.592
1595275,250,gpu_all,ifdda_gpu,2,2,0.5608093949958238,8.3519143059268e-05,2.4730049767179517e-11,0:55.64,54,110,55.029,15.52
1595277,250,gpu_all,ifdda_gpu,10,2,0.5608093949958238,8.3519143059268e-05,2.47300497671792e-11,0:25.69,54,110,25.079,15.47
1595291,250,gpu_all,ifdda_gpu,2,3,0.5608093949958238,8.3519143059268e-05,2.4730049767179517e-11,0:55.63,54,110,55.002,15.476
