N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
150,1,FFTW,1,0.5608136304853212,9.037492444989493e-05,24729875.27733936,3.5890128352891955,2:22.54,54,107,139.8563,133.8632,126.9154
150,1,FFTW,2,0.5608136304853212,9.045284165817917e-05,24729875.277382743,3.5890128352954918,2:23.18,54,107,140.5387,134.4362,127.463
150,1,FFTW,3,0.5608136304853212,9.17731033153932e-05,24729875.277408056,3.589012835299165,2:22.35,54,107,139.6513,133.7306,126.8058
150,1,GPFA,1,0.5608136304853212,9.113645816235056e-05,24729875.277397368,3.5890128352976145,4:53.77,54,107,291.0794,286.3254,279.4369
150,1,GPFA,2,0.5608136304853212,9.113645816235056e-05,24729875.277397368,3.5890128352976145,4:49.04,54,107,288.4051,283.4429,276.5883
150,1,GPFA,3,0.5608136304853212,9.113645816235056e-05,24729875.277397368,3.5890128352976145,4:48.68,54,107,285.9828,281.2484,274.3979
150,2,FFTW,1,0.560813630490462,8.959603105171274e-05,24729875.277405336,3.58901283529877,1:39.14,54,107,96.4359,92.2467,87.8232
150,2,FFTW,2,0.560813630490462,8.964095571735523e-05,24729875.277331453,3.5890128352880475,1:41.69,54,107,101.0655,97.0867,92.5815
150,2,FFTW,3,0.560813630490462,8.961740434627206e-05,24729875.27741857,3.5890128353006907,1:37.49,54,107,96.8621,92.5478,88.1077
150,2,GPFA,1,0.560813630490462,8.961969486546177e-05,24729875.277314108,3.5890128352855304,3:14.15,54,107,191.4419,188.5302,184.1745
150,2,GPFA,2,0.560813630490462,8.961969486546177e-05,24729875.277314108,3.5890128352855304,3:06.06,54,107,185.4341,182.5883,178.2486
150,2,GPFA,3,0.560813630490462,8.961969486546177e-05,24729875.277314108,3.5890128352855304,3:12.71,54,107,189.9956,186.916,182.5299
150,5,FFTW,1,0.5608136304866764,9.215077519557587e-05,24729875.277448267,3.5890128353050006,1:07.06,54,107,64.4364,62.1435,58.5415
150,5,FFTW,2,0.5608136304866768,9.195006090920976e-05,24729875.27735855,3.5890128352919803,1:00.52,54,107,59.8797,57.445,54.0744
150,5,FFTW,3,0.5608136304866768,9.185530651413168e-05,24729875.277395472,3.5890128352973387,1:00.57,54,107,59.907,57.5479,54.182
150,5,GPFA,1,0.5608136304866768,8.916306680713402e-05,24729875.277350705,3.5890128352908417,2:06.33,54,107,123.6259,122.0646,118.6823
150,5,GPFA,2,0.5608136304866768,8.916306680713402e-05,24729875.277350705,3.5890128352908417,2:11.64,54,107,128.972,127.3308,123.9165
150,5,GPFA,3,0.5608136304866768,8.916306680713402e-05,24729875.277350705,3.5890128352908417,2:07.92,54,107,127.303,125.6998,122.2816
150,10,FFTW,1,0.5608136304883611,9.083040115075095e-05,24729875.27735815,3.5890128352919217,1:05.91,54,107,65.2773,62.9749,59.8287
150,10,FFTW,2,0.5608136304883611,9.082709558565388e-05,24729875.27739824,3.58901283529774,1:06.10,54,107,63.3406,60.8735,57.8801
150,10,FFTW,3,0.5608136304883611,9.081700675632448e-05,24729875.277390484,3.589012835296615,1:06.40,54,107,63.6855,61.245,58.0918
150,10,GPFA,1,0.5608136304883611,9.082313578633939e-05,24729875.27737215,3.5890128352939543,2:17.13,54,107,136.4934,134.7157,131.1602
150,10,GPFA,2,0.5608136304883611,9.082313578633939e-05,24729875.27737215,3.5890128352939543,2:17.66,54,107,134.9504,133.1998,129.3898
150,10,GPFA,3,0.5608136304883611,9.082313578633939e-05,24729875.27737215,3.5890128352939543,2:15.00,54,107,132.3206,130.6163,126.8491
150,15,FFTW,1,0.5608136304884008,9.206922096836531e-05,24729875.277393688,3.58901283529708,1:01.39,54,107,60.7629,58.4739,55.2873
150,15,FFTW,2,0.5608136304884008,9.207355511168647e-05,24729875.277379293,3.5890128352949904,1:03.82,54,107,61.0686,58.7905,55.5336
150,15,FFTW,3,0.5608136304884009,9.205084587776307e-05,24729875.277368955,3.5890128352934902,1:00.45,54,107,59.8213,57.5434,54.3042
150,15,GPFA,1,0.5608136304884009,9.201934605573545e-05,24729875.277378462,3.58901283529487,2:24.35,54,107,141.6554,139.797,136.1498
150,15,GPFA,2,0.5608136304884009,9.201934605573545e-05,24729875.277378462,3.58901283529487,2:23.45,54,107,142.7984,140.9901,136.6064
150,15,GPFA,3,0.5608136304884009,9.201934605573545e-05,24729875.277378462,3.58901283529487,2:23.68,54,107,141.0303,139.2084,135.8465
250,1,FFTW,1,0.5608093949958295,9.005334411234546e-05,24730049.767323192,3.5890381587809035,14:22.89,54,107,860.1811,832.8655,800.8176
250,1,FFTW,2,0.5608093949958295,9.005334411234546e-05,24730049.767323192,3.5890381587809035,14:36.52,54,107,873.7869,846.6927,814.5865
250,1,FFTW,3,0.5608093949958295,9.005334411234546e-05,24730049.767323192,3.5890381587809035,14:29.89,54,107,867.2016,839.9341,807.7995
250,1,GPFA,1,0.5608093949958289,8.997108994267784e-05,24730049.76687596,3.5890381587159967,31:49.91,54,107,1907.2138,1883.6475,1851.9638
250,1,GPFA,2,0.5608093949958289,8.997108994267784e-05,24730049.76687596,3.5890381587159967,32:04.33,54,107,1923.7026,1899.8402,1868.2388
250,1,GPFA,3,0.5608093949958289,8.997108994267784e-05,24730049.76687596,3.5890381587159967,32:41.13,54,107,1960.5095,1936.2527,1904.5705
250,2,FFTW,1,0.5608093950118752,8.927334467847441e-05,24730049.768670853,3.589038158976488,9:00.64,54,107,537.9368,522.4852,502.3173
250,2,FFTW,2,0.5608093950118752,8.92785706919435e-05,24730049.76730832,3.5890381587787448,9:19.54,54,107,556.8245,540.8909,520.2759
250,2,FFTW,3,0.5608093950118752,8.927334467847441e-05,24730049.768670853,3.589038158976488,9:11.06,54,107,548.3696,531.8687,511.1707
250,2,GPFA,1,0.5608093950118753,8.9266344822954e-05,24730049.76713943,3.5890381587542346,27:59.16,54,107,1676.5048,1660.6943,1640.2417
250,2,GPFA,2,0.5608093950118753,8.9266344822954e-05,24730049.76713943,3.5890381587542346,25:14.32,54,107,1511.6615,1496.9346,1476.5206
250,2,GPFA,3,0.5608093950118753,8.9266344822954e-05,24730049.76713943,3.5890381587542346,28:28.78,54,107,1706.1367,1690.0773,1669.5465
250,5,FFTW,1,0.5608093949841726,8.821353918528307e-05,24730049.766478635,3.5890381586583344,5:25.63,54,107,325.0077,314.7453,299.4435
250,5,FFTW,2,0.5608093949841726,8.824959367783992e-05,24730049.767028548,3.589038158738142,5:15.28,54,107,314.6565,304.9629,289.9697
250,5,FFTW,3,0.5608093949841726,8.806655614776534e-05,24730049.76720357,3.589038158763543,5:19.61,54,107,316.9149,307.871,292.8528
250,5,GPFA,1,0.5608093949841725,8.780371424933132e-05,24730049.76784712,3.58903815885694,14:15.90,54,107,855.2602,845.3304,830.1126
250,5,GPFA,2,0.5608093949841725,8.780371424933132e-05,24730049.76784712,3.58903815885694,14:13.62,54,107,850.9691,841.137,826.036
250,5,GPFA,3,0.5608093949841725,8.780371424933132e-05,24730049.76784712,3.58903815885694,14:15.62,54,107,852.8974,842.8151,827.4105
250,10,FFTW,1,0.5608093950012231,9.09376929179611e-05,24730049.767233167,3.5890381587678384,5:48.49,54,107,347.8494,336.9905,320.682
250,10,FFTW,2,0.5608093950012232,9.100207623979853e-05,24730049.767091367,3.5890381587472597,5:39.86,54,107,337.1136,327.0036,313.1855
250,10,FFTW,3,0.5608093950012231,9.101208231768773e-05,24730049.767152507,3.589038158756132,5:28.83,54,107,326.1314,316.0187,301.8447
250,10,GPFA,1,0.5608093950012231,9.0932167525984e-05,24730049.767088845,3.5890381587468934,14:51.90,54,107,889.2213,879.3088,861.778
250,10,GPFA,2,0.5608093950012231,9.0932167525984e-05,24730049.767088845,3.5890381587468934,14:51.13,54,107,888.4216,877.415,860.4173
250,10,GPFA,3,0.5608093950012231,9.0932167525984e-05,24730049.767088845,3.5890381587468934,14:47.13,54,107,884.4464,874.7735,857.2572
250,15,FFTW,1,0.5608093949990518,9.167864625791249e-05,24730049.767275427,3.589038158773972,5:47.21,54,107,346.5854,335.8036,319.4789
250,15,FFTW,2,0.5608093949990518,9.166528456098541e-05,24730049.76719317,3.589038158762034,5:47.21,54,107,344.5136,333.7602,317.525
