N,FFT,OMP,rep,first_residual,last_residual,Qext,elapsed_time,elapsed_seconds,num_iterations
150,FFTMKL,1,1,0.5608136304851131,8.13216621353e-05,3.5890128352978903,3:01.32,181.32,54
150,FFTMKL,1,2,0.5608136304851131,8.13216621353e-05,3.5890128352978903,3:01.91,181.91,54
150,FFTMKL,1,3,0.5608136304851131,8.13216621353e-05,3.5890128352978903,3:02.34,182.34,54
150,GPFAFT,1,1,0.560813630485112,8.13241661132e-05,3.5890128352931407,5:24.64,324.64,54
150,GPFAFT,1,2,0.560813630485112,8.13241661132e-05,3.5890128352931407,6:07.70,367.7,54
150,GPFAFT,1,3,0.560813630485112,8.13241661132e-05,3.5890128352931407,5:33.81,333.81,54
150,FFTMKL,2,1,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:45.05,165.05,54
150,FFTMKL,2,2,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:44.77,164.77,54
150,FFTMKL,2,3,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:44.66,164.66,54
150,GPFAFT,2,1,0.560813630485112,8.13241661132e-05,3.5890128352931407,5:04.84,304.84,54
150,GPFAFT,2,2,0.560813630485112,8.13241661132e-05,3.5890128352931407,5:04.74,304.74,54
150,GPFAFT,2,3,0.560813630485112,8.13241661132e-05,3.5890128352931407,5:06.67,306.67,54
150,FFTMKL,5,1,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:27.96,147.96,54
150,FFTMKL,5,2,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:35.77,155.77,54
150,FFTMKL,5,3,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:26.18,146.18,54
150,GPFAFT,5,1,0.560813630485112,8.13241661132e-05,3.5890128352931407,4:59.98,299.98,54
150,GPFAFT,5,2,0.560813630485112,8.13241661132e-05,3.5890128352931407,4:54.82,294.82,54
150,GPFAFT,5,3,0.560813630485112,8.13241661132e-05,3.5890128352931407,4:55.34,295.34,54
150,FFTMKL,10,1,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:36.08,156.08,54
150,FFTMKL,10,2,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:30.00,150.0,54
150,FFTMKL,10,3,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:38.07,158.07,54
150,GPFAFT,10,1,0.560813630485112,8.13241661132e-05,3.5890128352931407,4:51.36,291.36,54
150,GPFAFT,10,2,0.560813630485112,8.13241661132e-05,3.5890128352931407,4:58.90,298.9,54
150,GPFAFT,10,3,0.560813630485112,8.13241661132e-05,3.5890128352931407,5:02.68,302.68,54
150,FFTMKL,15,1,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:29.67,149.67,54
150,FFTMKL,15,2,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:34.80,154.8,54
150,FFTMKL,15,3,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:32.07,152.07,54
150,GPFAFT,15,1,0.560813630485112,8.13241661132e-05,3.5890128352931407,4:53.27,293.27,54
150,GPFAFT,15,2,0.560813630485112,8.13241661132e-05,3.5890128352931407,4:59.78,299.78,54
150,GPFAFT,15,3,0.560813630485112,8.13241661132e-05,3.5890128352931407,4:59.88,299.88,54
150,FFTMKL,22,1,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:39.96,159.96,54
150,FFTMKL,22,2,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:47.32,167.32,54
150,FFTMKL,22,3,0.5608136304851131,8.13216621353e-05,3.5890128352978903,2:36.00,156.0,54
150,GPFAFT,22,2,0.560813630485112,8.13241661132e-05,3.5890128352931407,4:54.79,294.79,54
150,GPFAFT,22,3,0.560813630485112,8.13241661132e-05,3.5890128352931407,4:55.89,295.89,54
250,FFTMKL,1,1,0.560809395007945,8.38486584682e-05,3.589038158750048,14:36.46,876.46,54
250,FFTMKL,1,2,0.560809395007945,8.38486584682e-05,3.589038158750048,14:23.56,863.56,54
250,FFTMKL,1,3,0.560809395007945,8.38486584682e-05,3.589038158750048,14:31.87,871.87,54
250,GPFAFT,1,1,0.5608093950079449,8.3909239613e-05,3.589038158756031,25:10.31,1510.31,54
250,GPFAFT,1,2,0.5608093950079449,8.3909239613e-05,3.589038158756031,25:31.97,1531.97,54
250,FFTMKL,2,1,0.560809395007945,8.38486584682e-05,3.589038158750048,12:53.60,773.6,54
250,FFTMKL,2,2,0.560809395007945,8.38486584682e-05,3.589038158750048,13:06.47,786.47,54
250,FFTMKL,2,3,0.560809395007945,8.38486584682e-05,3.589038158750048,13:08.14,788.14,54
250,GPFAFT,2,1,0.5608093950079449,8.3909239613e-05,3.589038158756031,23:56.32,1436.32,54
250,GPFAFT,2,2,0.5608093950079449,8.3909239613e-05,3.589038158756031,24:00.53,1440.53,54
250,GPFAFT,2,3,0.5608093950079449,8.3909239613e-05,3.589038158756031,23:48.59,1428.59,54
250,FFTMKL,5,1,0.560809395007945,8.38486584682e-05,3.589038158750048,12:00.19,720.19,54
250,FFTMKL,5,2,0.560809395007945,8.38486584682e-05,3.589038158750048,12:06.78,726.78,54
250,FFTMKL,5,3,0.560809395007945,8.38486584682e-05,3.589038158750048,13:29.83,809.83,54
250,GPFAFT,5,1,0.5608093950079449,8.3909239613e-05,3.589038158756031,22:39.83,1359.83,54
250,GPFAFT,5,2,0.5608093950079449,8.3909239613e-05,3.589038158756031,22:33.78,1353.78,54
250,GPFAFT,5,3,0.5608093950079449,8.3909239613e-05,3.589038158756031,23:04.02,1384.02,54
250,FFTMKL,10,1,0.560809395007945,8.38486584682e-05,3.589038158750048,12:01.69,721.69,54
250,FFTMKL,10,2,0.560809395007945,8.38486584682e-05,3.589038158750048,11:58.94,718.94,54
250,FFTMKL,10,3,0.560809395007945,8.38486584682e-05,3.589038158750048,12:14.42,734.42,54
250,GPFAFT,10,1,0.5608093950079449,8.3909239613e-05,3.589038158756031,22:36.33,1356.33,54
250,GPFAFT,10,2,0.5608093950079449,8.3909239613e-05,3.589038158756031,22:36.38,1356.38,54
250,GPFAFT,10,3,0.5608093950079449,8.3909239613e-05,3.589038158756031,22:56.10,1376.1,54
250,FFTMKL,15,1,0.560809395007945,8.38486584682e-05,3.589038158750048,11:59.91,719.91,54
250,FFTMKL,15,2,0.560809395007945,8.38486584682e-05,3.589038158750048,11:56.69,716.69,54
250,FFTMKL,15,3,0.560809395007945,8.38486584682e-05,3.589038158750048,12:06.53,726.53,54
250,GPFAFT,15,1,0.5608093950079449,8.3909239613e-05,3.589038158756031,22:49.83,1369.83,54
250,GPFAFT,15,2,0.5608093950079449,8.3909239613e-05,3.589038158756031,22:45.18,1365.18,54
250,GPFAFT,15,3,0.5608093950079449,8.3909239613e-05,3.589038158756031,22:40.62,1360.62,54
250,FFTMKL,22,1,0.560809395007945,8.38486584682e-05,3.589038158750048,12:09.42,729.42,54
