N,NP,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
150,1,5.60813630483392389E-01,8.88409402166950103E-05,24.729875277336429,3.5890128352887678,2:19.51,54,107,137.1548,131.3176,124.4574
150,2,5.60813630489967130E-01,9.24953003645230906E-05,24.72987527738487,3.5890128352957977,1:44.03,54,107,103.6188,99.9658,95.1529
150,5,5.60813630489389259E-01,9.02838130316453881E-05,24.729875277336181,3.5890128352887318,0:59.28,54,107,58.8642,56.6949,53.2770
150,10,5.60813630487582815E-01,8.94365240730613442E-05,24.729875277392381,3.589012835296888,1:06.51,54,107,66.1055,63.6213,60.4638
150,15,5.60813630488357417E-01,9.27480564972056094E-05,24.729875277384618,3.5890128352957613,1:02.72,54,107,62.2969,59.8419,56.4295
250,1,5.60809394951158890E-01,9.20196014380826469E-05,24.730049767024436,3.5890381587375462,14:22.52,54,107,860.1735,833.3920,801.5640
250,2,5.60809395002360045E-01,9.05109793090529851E-05,24.730049767521585,3.5890381588096969,11:11.05,54,107,670.6256,649.9881,622.4243
250,5,5.60809394986042764E-01,9.09829050054052692E-05,24.730049767002782,3.5890381587344033,5:51.21,54,107,350.7858,341.6560,325.2802
250,10,5.60809395002060396E-01,8.99564742617343943E-05,24.730049766916078,3.5890381587218205,5:31.75,54,107,331.3274,321.3712,307.1937
250,15,5.60809395000495647E-01,9.03400206973681822E-05,24.730049767088893,3.5890381587469005,5:57.76,54,107,357.3554,345.8920,328.6259
