N,exe,solver,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
150,adda_ocl,bicg,1,0.5917547765108889,7.548867090901598e-05,24.730435986491784,3.5890942102384127,0:52.37,131,131,52.3219,48.7409,39.2755
150,adda_ocl,bicg,2,0.5917547765108889,7.548867090901598e-05,24.730435986491784,3.5890942102384127,0:54.67,131,131,54.6342,51.0213,41.5695
150,adda_ocl,bicg,3,0.5917547765108889,7.548867090901598e-05,24.730435986491784,3.5890942102384127,0:52.21,131,131,52.1587,48.7167,39.2909
150,adda_ocl,bicg,4,0.5917547765108889,7.548867090901598e-05,24.730435986491784,3.5890942102384127,0:54.58,131,131,54.5395,51.1152,41.7123
150,adda_ocl_blas,bicg,1,0.591754776511762,7.548867096645779e-05,24.730435986491727,3.5890942102384056,0:40.82,131,131,40.7614,37.2397,0.0608
150,adda_ocl_blas,bicg,2,0.591754776511762,7.548867096645779e-05,24.730435986491727,3.5890942102384056,0:40.84,131,131,40.7891,37.406,0.061
150,adda_ocl_blas,bicg,3,0.591754776511762,7.548867096645779e-05,24.730435986491727,3.5890942102384056,0:40.85,131,131,40.808,37.3806,0.0601
150,adda_ocl_blas,bicg,4,0.591754776511762,7.548867096645779e-05,24.730435986491727,3.5890942102384056,0:41.09,131,131,41.0393,37.2781,0.0603
150,adda_ocl,bicgstab,1,0.5608136304833925,9.108760586844744e-05,24.729875277364307,3.589012835292813,0:44.43,54,107,44.3887,40.7766,33.4501
150,adda_ocl,bicgstab,2,0.5608136304833925,9.108760586844744e-05,24.729875277364307,3.589012835292813,0:44.43,54,107,44.3835,40.56,33.2087
150,adda_ocl,bicgstab,3,0.5608136304833925,9.108760586844744e-05,24.729875277364307,3.589012835292813,0:44.59,54,107,44.5489,41.1176,33.8538
150,adda_ocl,bicgstab,4,0.5608136304833925,9.108760586844744e-05,24.729875277364307,3.589012835292813,0:43.44,54,107,43.3873,39.7112,32.4828
250,adda_ocl,bicg,1,0.5917796226718245,7.617154554789859e-05,24.730587626716005,3.589116217575893,4:55.99,131,131,295.9461,276.9815,232.3382
250,adda_ocl,bicg,2,0.5917796226718245,7.617154554789859e-05,24.730587626716005,3.589116217575893,4:51.61,131,131,291.5554,274.0484,231.2636
250,adda_ocl,bicg,3,0.5917796226718245,7.617154554789859e-05,24.730587626716005,3.589116217575893,4:54.24,131,131,294.2008,275.2544,232.4955
250,adda_ocl,bicg,4,0.5917796226718245,7.617154554789859e-05,24.730587626716005,3.589116217575893,4:55.52,131,131,295.478,276.691,233.4882
250,adda_ocl,bicgstab,1,0.5608093949511593,9.203018770348664e-05,24.73004976726583,3.589038158772579,4:01.31,54,107,241.2658,223.5233,190.4546
250,adda_ocl,bicgstab,2,0.5608093949511593,9.203018770348664e-05,24.73004976726583,3.589038158772579,4:02.87,54,107,242.8241,224.9507,191.053
250,adda_ocl,bicgstab,3,0.5608093949511593,9.203018770348664e-05,24.73004976726583,3.589038158772579,4:01.69,54,107,241.6415,223.3903,190.1199
250,adda_ocl,bicgstab,4,0.5608093949511593,9.203018770348664e-05,24.73004976726583,3.589038158772579,4:02.17,54,107,242.1255,223.7716,190.3397
