N,exe,OMP,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
150,ifdda_GPU,1,1,0.5608136304886872,8.31666389826582e-05,2.4729875277374517e-11,0:46.15,54,110,45.856,37.71
150,ifdda_GPU,1,2,0.5608136304886872,8.31666389826582e-05,2.4729875277374517e-11,0:45.48,54,110,45.217,37.401
150,ifdda_GPU,1,3,0.5608136304886872,8.31666389826582e-05,2.4729875277374517e-11,0:47.65,54,110,47.076,39.384
150,ifdda_GPU_single,1,1,0.5608135461807251,8.37287152535282e-05,2.47297377802598e-11,0:19.26,53,108,18.933,10.572
150,ifdda_GPU_single,1,2,0.5608135461807251,8.37287152535282e-05,2.47297377802598e-11,0:16.95,53,108,16.643,7.854
150,ifdda_GPU_single,1,3,0.5608135461807251,8.37287152535282e-05,2.47297377802598e-11,0:17.38,53,108,17.021,7.996
150,ifdda_GPU,10,1,0.5608136304886872,8.31666389826582e-05,2.4729875277380217e-11,0:39.93,54,110,39.652,37.814
150,ifdda_GPU,10,2,0.5608136304886872,8.31666389826582e-05,2.4729875277380207e-11,0:40.00,54,110,39.69,37.902
150,ifdda_GPU,10,3,0.5608136304886872,8.31666389826582e-05,2.4729875277380217e-11,0:40.28,54,110,39.995,38.178
150,ifdda_GPU_single,10,1,0.5608135461807251,8.37287152535282e-05,2.472973778026156e-11,0:10.00,53,108,9.649000000000001,7.820999999999999
150,ifdda_GPU_single,10,2,0.5608135461807251,8.37287152535282e-05,2.472973778026156e-11,0:09.96,53,108,9.647,7.796999999999999
150,ifdda_GPU_single,10,3,0.5608135461807251,8.37287152535282e-05,2.472973778026156e-11,0:10.11,53,108,9.778,7.844
