JOBID,N,partition,exe,solver,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
1555410,150,gpu_all,adda_ocl,bicg,1,0.5917547765199598,7.548867105375229e-05,24.730435986474795,3.5890942102359475,0:17.20,131,131,16.7928,13.9989,7.1022
1555422,150,gpu_all,adda_ocl,bicg,2,0.5917547765199598,7.548867105375229e-05,24.730435986474795,3.5890942102359475,0:17.18,131,131,16.7768,13.9863,7.0914
1555434,150,gpu_all,adda_ocl,bicg,3,0.5917547765199598,7.548867105375229e-05,24.730435986474795,3.5890942102359475,0:17.19,131,131,16.7925,13.9847,7.0986
1555409,150,gpu_h200,adda_ocl,bicg,1,0.5917547765199598,7.548867105375229e-05,24.730435986474795,3.5890942102359475,0:21.84,131,131,21.2279,18.2709,5.7086
1555421,150,gpu_h200,adda_ocl,bicg,2,0.5917547765199598,7.548867105375229e-05,24.730435986474795,3.5890942102359475,0:21.83,131,131,21.2296,18.2613,5.7253
1555433,150,gpu_h200,adda_ocl,bicg,3,0.5917547765199598,7.548867105375229e-05,24.730435986474795,3.5890942102359475,0:21.79,131,131,21.1879,18.2413,5.7213
1555412,150,gpu_all,adda_ocl_blas,bicg,1,0.5917547765199751,7.548867096754966e-05,24.730435986491415,3.5890942102383603,0:07.48,131,131,7.039,3.5193,0.0589
1555424,150,gpu_all,adda_ocl_blas,bicg,2,0.5917547765199751,7.548867096754966e-05,24.730435986491415,3.5890942102383603,0:07.48,131,131,7.0307,3.5262,0.059
1555436,150,gpu_all,adda_ocl_blas,bicg,3,0.5917547765199751,7.548867096754966e-05,24.730435986491415,3.5890942102383603,0:07.52,131,131,7.0664,3.5435,0.0593
1555411,150,gpu_h200,adda_ocl_blas,bicg,1,0.5917547765199749,7.548867096747168e-05,24.73043598649143,3.5890942102383616,0:06.87,131,131,6.1453,2.0312,0.0668
1555423,150,gpu_h200,adda_ocl_blas,bicg,2,0.5917547765199749,7.548867096747168e-05,24.73043598649143,3.5890942102383616,0:06.91,131,131,6.1619,2.0378,0.0665
1555435,150,gpu_h200,adda_ocl_blas,bicg,3,0.5917547765199749,7.548867096747168e-05,24.73043598649143,3.5890942102383616,0:06.92,131,131,6.1612,2.0311,0.0669
1555408,150,gpu_all,adda_ocl,bicgstab,1,0.5608136304899553,9.255062450961535e-05,24.72987527735831,3.5890128352919435,0:14.40,54,107,13.9964,11.0606,5.9629
1555420,150,gpu_all,adda_ocl,bicgstab,2,0.5608136304899553,9.255062450961535e-05,24.72987527735831,3.5890128352919435,0:14.37,54,107,13.9628,11.0312,5.93
1555432,150,gpu_all,adda_ocl,bicgstab,3,0.5608136304899553,9.255062450961535e-05,24.72987527735831,3.5890128352919435,0:14.36,54,107,13.9516,11.0189,5.9186
1555407,150,gpu_h200,adda_ocl,bicgstab,1,0.5608136304899553,9.255062450961535e-05,24.72987527735831,3.5890128352919435,0:18.90,54,107,18.2994,15.1035,4.8982
1555419,150,gpu_h200,adda_ocl,bicgstab,2,0.5608136304899553,9.255062450961535e-05,24.72987527735831,3.5890128352919435,0:18.96,54,107,18.362,15.1885,4.9075
1555431,150,gpu_h200,adda_ocl,bicgstab,3,0.5608136304899553,9.255062450961535e-05,24.72987527735831,3.5890128352919435,0:18.97,54,107,18.3705,15.1973,4.8966
1555416,250,gpu_all,adda_ocl,bicg,1,0.5917796227102652,7.617154500070147e-05,24.73058762680212,3.5891162175883906,1:29.73,131,131,89.3179,75.6299,44.1094
1555428,250,gpu_all,adda_ocl,bicg,2,0.5917796227102652,7.617154500070147e-05,24.73058762680212,3.5891162175883906,1:25.16,131,131,84.7443,71.1964,39.7169
1555440,250,gpu_all,adda_ocl,bicg,3,0.5917796227102652,7.617154500070147e-05,24.73058762680212,3.5891162175883906,1:25.36,131,131,84.9489,71.3054,39.7943
1555415,250,gpu_h200,adda_ocl,bicg,1,0.5917796227102652,7.617154500070147e-05,24.73058762680212,3.5891162175883906,1:48.25,131,131,107.638,91.8141,29.0724
1555427,250,gpu_h200,adda_ocl,bicg,2,0.5917796227102652,7.617154500070147e-05,24.73058762680212,3.5891162175883906,1:49.14,131,131,108.5313,92.5778,29.3217
1555439,250,gpu_h200,adda_ocl,bicg,3,0.5917796227102652,7.617154500070147e-05,24.73058762680212,3.5891162175883906,1:48.74,131,131,108.14,92.1894,29.0157
1555418,250,gpu_all,adda_ocl_blas,bicg,1,0.5917796227062356,7.617154544066393e-05,24.730587626740295,3.589116217579419,0:40.84,131,131,40.39,25.3238,0.0925
1555430,250,gpu_all,adda_ocl_blas,bicg,2,0.5917796227062356,7.617154544066393e-05,24.730587626740295,3.589116217579419,0:40.98,131,131,40.5357,25.4476,0.0915
1555442,250,gpu_all,adda_ocl_blas,bicg,3,0.5917796227062356,7.617154544066393e-05,24.730587626740295,3.589116217579419,0:40.93,131,131,40.4858,25.4009,0.0921
