JOBID,N,partition,exe,OMP,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
1552148,150,gpu_all,ifdda_gcc12_gpu,2,1,0.560813630488687,8.262645545189617e-05,2.4729875277381613e-11,0:13.00,54,110,11.793,3.021
1552164,150,gpu_all,ifdda_gcc12_gpu,2,2,0.560813630488687,8.262645545189617e-05,2.4729875277381613e-11,0:13.07,54,110,11.831,3.04
1552180,150,gpu_all,ifdda_gcc12_gpu,2,3,0.560813630488687,8.262645545189617e-05,2.4729875277381613e-11,0:13.04,54,110,11.814,3.026
1552147,150,gpu_h200,ifdda_gcc12_gpu,2,1,0.560813630488687,8.262645545189617e-05,2.4729875277381613e-11,0:13.40,54,110,9.298,2.303
1552163,150,gpu_h200,ifdda_gcc12_gpu,2,2,0.560813630488687,8.262645545189617e-05,2.4729875277381613e-11,0:13.36,54,110,9.307,2.282
1552179,150,gpu_h200,ifdda_gcc12_gpu,2,3,0.560813630488687,8.262645545189617e-05,2.4729875277381613e-11,0:13.35,54,110,9.269,2.285
1552152,150,gpu_all,ifdda_gcc12_gpu_sp,2,1,0.5608136057853698,9.342141856905073e-05,2.4729884800992513e-11,0:12.63,54,110,11.405,2.601
1552168,150,gpu_all,ifdda_gcc12_gpu_sp,2,2,0.5608136057853698,9.342141856905073e-05,2.4729884800992513e-11,0:12.62,54,110,11.389,2.601
1552184,150,gpu_all,ifdda_gcc12_gpu_sp,2,3,0.5608136057853698,9.342141856905073e-05,2.4729884800992513e-11,0:12.63,54,110,11.397,2.602
1552151,150,gpu_h200,ifdda_gcc12_gpu_sp,2,1,0.5608136057853698,8.666404755786061e-05,2.472988658197072e-11,0:13.60,54,110,9.634,2.615
1552167,150,gpu_h200,ifdda_gcc12_gpu_sp,2,2,0.5608136057853698,8.666404755786061e-05,2.472988658197072e-11,0:13.74,54,110,9.608,2.603
1552183,150,gpu_h200,ifdda_gcc12_gpu_sp,2,3,0.5608136057853698,8.666404755786061e-05,2.472988658197072e-11,0:13.68,54,110,9.637,2.634
1552150,150,gpu_all,ifdda_gcc12_gpu,10,1,0.560813630488687,8.262645545189617e-05,2.4729875277380223e-11,0:07.30,54,110,6.042,3.043
1552166,150,gpu_all,ifdda_gcc12_gpu,10,2,0.560813630488687,8.262645545189617e-05,2.4729875277380223e-11,0:06.64,54,110,5.4190000000000005,3.035
1552182,150,gpu_all,ifdda_gcc12_gpu,10,3,0.560813630488687,8.262645545189617e-05,2.472987527738022e-11,0:06.78,54,110,5.539,3.042
1552149,150,gpu_h200,ifdda_gcc12_gpu,10,1,0.560813630488687,8.262645545189617e-05,2.4729875277380223e-11,0:08.15,54,110,4.088,2.26
1552165,150,gpu_h200,ifdda_gcc12_gpu,10,2,0.560813630488687,8.262645545189617e-05,2.4729875277380233e-11,0:08.14,54,110,4.063,2.282
1552181,150,gpu_h200,ifdda_gcc12_gpu,10,3,0.560813630488687,8.262645545189617e-05,2.472987527738022e-11,0:08.13,54,110,4.04,2.309
1552154,150,gpu_all,ifdda_gcc12_gpu_sp,10,1,0.5608136057853698,9.342141856905073e-05,2.4729884800991288e-11,0:06.19,54,110,4.94,2.629
1552170,150,gpu_all,ifdda_gcc12_gpu_sp,10,2,0.5608136057853698,9.342141856905073e-05,2.472988480099129e-11,0:07.23,54,110,6.005,2.593
1552186,150,gpu_all,ifdda_gcc12_gpu_sp,10,3,0.5608136057853698,9.342141856905073e-05,2.4729884800991288e-11,0:06.17,54,110,4.934,2.609
1552153,150,gpu_h200,ifdda_gcc12_gpu_sp,10,1,0.5608136057853698,8.666404755786061e-05,2.472988658197181e-11,0:08.39,54,110,4.369,2.619
1552169,150,gpu_h200,ifdda_gcc12_gpu_sp,10,2,0.5608136057853698,8.666404755786061e-05,2.472988658197181e-11,0:08.52,54,110,4.47,2.623
1552185,150,gpu_h200,ifdda_gcc12_gpu_sp,10,3,0.5608136057853698,8.666404755786061e-05,2.472988658197181e-11,0:08.32,54,110,4.377,2.657
1552156,250,gpu_all,ifdda_gcc12_gpu,2,1,0.5608093949958237,8.479437969709305e-05,2.4730049767183252e-11,0:54.85,54,110,53.518,13.871
1552172,250,gpu_all,ifdda_gcc12_gpu,2,2,0.5608093949958237,8.479437969709305e-05,2.4730049767183252e-11,0:54.95,54,110,53.622,13.819
1552188,250,gpu_all,ifdda_gcc12_gpu,2,3,0.5608093949958237,8.479437969709305e-05,2.4730049767183252e-11,0:54.77,54,110,53.437,13.801
1552155,250,gpu_h200,ifdda_gcc12_gpu,2,1,0.5608093949958237,8.479437969709305e-05,2.4730049767183252e-11,0:43.84,54,110,39.806,8.165
1552171,250,gpu_h200,ifdda_gcc12_gpu,2,2,0.5608093949958237,8.479437969709305e-05,2.4730049767183252e-11,0:43.89,54,110,39.754,8.134
1552187,250,gpu_h200,ifdda_gcc12_gpu,2,3,0.5608093949958237,8.479437969709305e-05,2.4730049767183252e-11,0:43.87,54,110,39.772,8.144
1552160,250,gpu_all,ifdda_gcc12_gpu_sp,2,1,0.560809314250946,8.668898226460443e-05,2.4730050869700395e-11,0:51.58,54,110,50.23,10.487
1552176,250,gpu_all,ifdda_gcc12_gpu_sp,2,2,0.560809314250946,8.668898226460443e-05,2.4730050869700395e-11,0:51.70,54,110,50.346,10.572
1552192,250,gpu_all,ifdda_gcc12_gpu_sp,2,3,0.560809314250946,8.668898226460443e-05,2.4730050869700395e-11,0:51.50,54,110,50.166,10.511
1552159,250,gpu_h200,ifdda_gcc12_gpu_sp,2,1,0.5608093738555908,8.180452277883886e-05,2.4730085937575622e-11,0:44.98,54,110,40.904,9.163
1552175,250,gpu_h200,ifdda_gcc12_gpu_sp,2,2,0.5608093738555908,8.180452277883886e-05,2.4730085937575622e-11,0:44.93,54,110,40.842,9.145
1552191,250,gpu_h200,ifdda_gcc12_gpu_sp,2,3,0.5608093738555908,8.180452277883886e-05,2.4730085937575622e-11,0:44.96,54,110,40.797,9.13
1552158,250,gpu_all,ifdda_gcc12_gpu,10,1,0.5608093949958237,8.479437969709305e-05,2.473004976718281e-11,0:24.84,54,110,23.485,13.934
1552174,250,gpu_all,ifdda_gcc12_gpu,10,2,0.5608093949958237,8.479437969709305e-05,2.4730049767182803e-11,0:25.68,54,110,24.319,13.961
1552190,250,gpu_all,ifdda_gcc12_gpu,10,3,0.5608093949958237,8.479437969709305e-05,2.4730049767182803e-11,0:24.72,54,110,23.369,13.815
1552157,250,gpu_h200,ifdda_gcc12_gpu,10,1,0.5608093949958237,8.479437969709305e-05,2.4730049767182803e-11,0:19.14,54,110,15.127,8.136
1552173,250,gpu_h200,ifdda_gcc12_gpu,10,2,0.5608093949958237,8.479437969709305e-05,2.4730049767182803e-11,0:19.11,54,110,15.001,8.009
1552189,250,gpu_h200,ifdda_gcc12_gpu,10,3,0.5608093949958237,8.479437969709305e-05,2.4730049767182803e-11,0:19.18,54,110,15.06,8.072
1552162,250,gpu_all,ifdda_gcc12_gpu_sp,10,1,0.560809314250946,8.668898226460443e-05,2.4730050869697768e-11,0:21.62,54,110,20.253,10.628
