JOBID,N,partition,exe,OMP,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
1555444,150,gpu_all,ifdda_gpu,2,1,0.56081363048868726,8.3091702645703144e-05,2.4729875277380007E-011,0:13.20,54,110,11.981000000000000     ,3.2749999999999999     
1555446,150,gpu_all,ifdda_gpu,10,1,0.56081363048868726,8.3091702645703144e-05,2.4729875277379577E-011,0:06.75,54,110,5.5300000000000002     ,3.2250000000000001     
1555448,150,gpu_all,ifdda_gpu_sp,2,1,0.56081360578536987,9.3421418569050729e-05,2.4729884800992510E-011,0:12.60,54,110,11.371000000000000     ,2.5890000000000000     
1555450,150,gpu_all,ifdda_gpu_sp,10,1,0.56081360578536987,9.3421418569050729e-05,2.4729884800991295E-011,0:06.15,54,110,4.9189999999999996     ,2.6130000000000000     
1555454,250,gpu_all,ifdda_gpu,10,1,0.56080939499582372,8.3350761087493152e-05,2.4730049767175500E-011,0:26.88,54,110,25.542999999999999     ,15.522000000000000     
1555452,250,gpu_all,ifdda_gpu,2,1,0.56080939499582372,8.3350761087493152e-05,2.4730049767174185E-011,0:56.50,54,110,55.154000000000003     ,15.500999999999999     
1555456,250,gpu_all,ifdda_gpu_sp,2,1,0.56080931425094604,8.6688982264604419e-05,2.4730050869700395E-011,0:51.45,54,110,50.085000000000001     ,10.528000000000000     
1555458,250,gpu_all,ifdda_gpu_sp,10,1,0.56080931425094604,8.6688982264604419e-05,2.4730050869697775E-011,0:22.31,54,110,20.962000000000000     ,10.484999999999999     
1555462,150,gpu_all,ifdda_gpu,10,2,0.56081363048868726,8.3091702645703144e-05,2.4729875277379577E-011,0:06.78,54,110,5.5549999999999997     ,3.2090000000000001     
1555460,150,gpu_all,ifdda_gpu,2,2,0.56081363048868726,8.3091702645703144e-05,2.4729875277380007E-011,0:13.25,54,110,12.021000000000001     ,3.2420000000000000     
1555466,150,gpu_all,ifdda_gpu_sp,10,2,0.56081360578536987,9.3421418569050729e-05,2.4729884800991295E-011,0:06.49,54,110,5.2599999999999998     ,2.5800000000000001     
1555464,150,gpu_all,ifdda_gpu_sp,2,2,0.56081360578536987,9.3421418569050729e-05,2.4729884800992510E-011,0:12.58,54,110,11.332000000000001     ,2.6059999999999999     
1555470,250,gpu_all,ifdda_gpu,10,2,0.56080939499582372,8.3350761087493152e-05,2.4730049767175500E-011,0:26.32,54,110,24.991000000000000     ,15.455000000000000     
1555468,250,gpu_all,ifdda_gpu,2,2,0.56080939499582372,8.3350761087493152e-05,2.4730049767174185E-011,0:56.49,54,110,55.161999999999999     ,15.526000000000000     
1555472,250,gpu_all,ifdda_gpu_sp,2,2,0.56080931425094604,8.6688982264604419e-05,2.4730050869700395E-011,0:51.35,54,110,49.996000000000002     ,10.490000000000000     
1555474,250,gpu_all,ifdda_gpu_sp,10,2,0.56080931425094604,8.6688982264604419e-05,2.4730050869697775E-011,0:22.16,54,110,20.808000000000000     ,10.603999999999999     
1555478,150,gpu_all,ifdda_gpu,10,3,0.56081363048868726,8.3091702645703144e-05,2.4729875277379577E-011,0:07.62,54,110,6.3970000000000002     ,3.2069999999999999     
1555476,150,gpu_all,ifdda_gpu,2,3,0.56081363048868726,8.3091702645703144e-05,2.4729875277380007E-011,0:13.19,54,110,11.986000000000001     ,3.2199999999999998     
1555482,150,gpu_all,ifdda_gpu_sp,10,3,0.56081360578536987,9.3421418569050729e-05,2.4729884800991288E-011,0:06.87,54,110,5.6349999999999998     ,2.5939999999999999     
1555480,150,gpu_all,ifdda_gpu_sp,2,3,0.56081360578536987,9.3421418569050729e-05,2.4729884800992510E-011,0:12.62,54,110,11.372000000000000     ,2.6000000000000001     
1555486,250,gpu_all,ifdda_gpu,10,3,0.56080939499582372,8.3350761087493152e-05,2.4730049767175500E-011,0:26.35,54,110,25.030000000000001     ,15.484000000000000     
1555484,250,gpu_all,ifdda_gpu,2,3,0.56080939499582372,8.3350761087493152e-05,2.4730049767174185E-011,0:56.54,54,110,55.210000000000001     ,15.539999999999999     
1555488,250,gpu_all,ifdda_gpu_sp,2,3,0.56080931425094604,8.6688982264604419e-05,2.4730050869700395E-011,0:51.38,54,110,50.037999999999997     ,10.502000000000001     
1555490,250,gpu_all,ifdda_gpu_sp,10,3,0.56080931425094604,8.6688982264604419e-05,2.4730050869697775E-011,0:22.71,54,110,21.373000000000001     ,10.528000000000000     
1555443,150,gpu_h200,ifdda_gpu,2,1,0.56081363048868726,8.3091702645703144e-05,2.4729875277380007E-011,0:13.55,54,110,9.6090000000000000     ,2.5720000000000001     
1555445,150,gpu_h200,ifdda_gpu,10,1,0.56081363048868726,8.3091702645703144e-05,2.4729875277379577E-011,0:08.17,54,110,4.1989999999999998     ,2.4729999999999999     
1555447,150,gpu_h200,ifdda_gpu_sp,2,1,0.56081360578536987,8.6664047557860613e-05,2.4729886581970720E-011,0:13.70,54,110,9.6750000000000007     ,2.6539999999999999     
1555449,150,gpu_h200,ifdda_gpu_sp,10,1,0.56081360578536987,8.6664047557860613e-05,2.4729886581971812E-011,0:08.22,54,110,4.3449999999999998     ,2.6219999999999999     
1555451,250,gpu_h200,ifdda_gpu,2,1,0.56080939499582372,8.3350761087493152e-05,2.4730049767174185E-011,0:44.48,54,110,40.381000000000000     ,8.7010000000000005     
1555453,250,gpu_h200,ifdda_gpu,10,1,0.56080939499582372,8.3350761087493152e-05,2.4730049767175503E-011,0:19.62,54,110,15.685000000000000     ,8.6829999999999998     
1555455,250,gpu_h200,ifdda_gpu_sp,2,1,0.56080937385559082,8.1804522778838873e-05,2.4730085937575622E-011,0:45.00,54,110,40.923999999999999     ,9.2840000000000007     
1555457,250,gpu_h200,ifdda_gpu_sp,10,1,0.56080937385559082,8.1804522778838873e-05,2.4730085937571667E-011,0:20.07,54,110,16.117999999999999     ,9.1400000000000006     
1555459,150,gpu_h200,ifdda_gpu,2,2,0.56081363048868726,8.3091702645703144e-05,2.4729875277380007E-011,0:13.17,54,110,9.4659999999999993     ,2.4870000000000001     
1555461,150,gpu_h200,ifdda_gpu,10,2,0.56081363048868726,8.3091702645703144e-05,2.4729875277379580E-011,0:08.20,54,110,4.3449999999999998     ,2.5160000000000000     
1555463,150,gpu_h200,ifdda_gpu_sp,2,2,0.56081360578536987,8.6664047557860613e-05,2.4729886581970720E-011,0:13.68,54,110,9.6850000000000005     ,2.6850000000000001     
1555465,150,gpu_h200,ifdda_gpu_sp,10,2,0.56081360578536987,8.6664047557860613e-05,2.4729886581971806E-011,0:08.35,54,110,4.3460000000000001     ,2.6189999999999998     
1555467,250,gpu_h200,ifdda_gpu,2,2,0.56080939499582372,8.3350761087493152e-05,2.4730049767174185E-011,0:44.43,54,110,40.405999999999999     ,8.7609999999999992     
1555469,250,gpu_h200,ifdda_gpu,10,2,0.56080939499582372,8.3350761087493152e-05,2.4730049767175503E-011,0:19.91,54,110,15.699000000000000     ,8.7080000000000002     
1555471,250,gpu_h200,ifdda_gpu_sp,2,2,0.56080937385559082,8.1804522778838873e-05,2.4730085937575622E-011,0:44.94,54,110,40.939000000000000     ,9.2789999999999999     
1555473,250,gpu_h200,ifdda_gpu_sp,10,2,0.56080937385559082,8.1804522778838873e-05,2.4730085937571670E-011,0:20.22,54,110,16.113000000000000     ,9.1170000000000009     
1555475,150,gpu_h200,ifdda_gpu,2,3,0.56081363048868726,8.3091702645703144e-05,2.4729875277380007E-011,0:13.59,54,110,9.5359999999999996     ,2.5409999999999999     
1555477,150,gpu_h200,ifdda_gpu,10,3,0.56081363048868726,8.3091702645703144e-05,2.4729875277379571E-011,0:08.45,54,110,4.4169999999999998     ,2.5600000000000001     
1555479,150,gpu_h200,ifdda_gpu_sp,2,3,0.56081360578536987,8.6664047557860613e-05,2.4729886581970720E-011,0:13.70,54,110,9.7140000000000004     ,2.7149999999999999     
1555481,150,gpu_h200,ifdda_gpu_sp,10,3,0.56081360578536987,8.6664047557860613e-05,2.4729886581971812E-011,0:08.36,54,110,4.3499999999999996     ,2.6139999999999999     
1555483,250,gpu_h200,ifdda_gpu,2,3,0.56080939499582372,8.3350761087493152e-05,2.4730049767174185E-011,0:44.64,54,110,40.344999999999999     ,8.7170000000000005     
1555485,250,gpu_h200,ifdda_gpu,10,3,0.56080939499582372,8.3350761087493152e-05,2.4730049767175503E-011,0:19.68,54,110,15.619000000000000     ,8.6280000000000001     
1555487,250,gpu_h200,ifdda_gpu_sp,2,3,0.56080937385559082,8.1804522778838873e-05,2.4730085937575622E-011,0:45.06,54,110,40.908000000000001     ,9.2509999999999994     
1555489,250,gpu_h200,ifdda_gpu_sp,10,3,0.56080937385559082,8.1804522778838873e-05,2.4730085937571670E-011,0:20.19,54,110,16.218000000000000     ,9.2370000000000001     
