JOBID,N,partition,exe,OMP,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
1555444,150,gpu_all,ifdda_gpu,1,1,0.5608136304886872,8.309170264570313e-05,2.4729875277380007e-11,0:13.20,54,110,11.981,3.275
1555460,150,gpu_all,ifdda_gpu,1,2,0.5608136304886872,8.309170264570313e-05,2.4729875277380007e-11,0:13.25,54,110,12.021,3.242
1555476,150,gpu_all,ifdda_gpu,1,3,0.5608136304886872,8.309170264570313e-05,2.4729875277380007e-11,0:13.19,54,110,11.986,3.22
1555443,150,gpu_h200,ifdda_gpu,1,1,0.5608136304886872,8.309170264570313e-05,2.4729875277380007e-11,0:13.55,54,110,9.609,2.572
1555459,150,gpu_h200,ifdda_gpu,1,2,0.5608136304886872,8.309170264570313e-05,2.4729875277380007e-11,0:13.17,54,110,9.466,2.487
1555475,150,gpu_h200,ifdda_gpu,1,3,0.5608136304886872,8.309170264570313e-05,2.4729875277380007e-11,0:13.59,54,110,9.536,2.541
1555448,150,gpu_all,ifdda_gpu_sp,1,1,0.5608136057853698,9.342141856905073e-05,2.4729884800992513e-11,0:12.60,54,110,11.371,2.589
1555464,150,gpu_all,ifdda_gpu_sp,1,2,0.5608136057853698,9.342141856905073e-05,2.4729884800992513e-11,0:12.58,54,110,11.332,2.606
1555480,150,gpu_all,ifdda_gpu_sp,1,3,0.5608136057853698,9.342141856905073e-05,2.4729884800992513e-11,0:12.62,54,110,11.372,2.6
1555447,150,gpu_h200,ifdda_gpu_sp,1,1,0.5608136057853698,8.666404755786061e-05,2.472988658197072e-11,0:13.70,54,110,9.675,2.654
1555463,150,gpu_h200,ifdda_gpu_sp,1,2,0.5608136057853698,8.666404755786061e-05,2.472988658197072e-11,0:13.68,54,110,9.685,2.685
1555479,150,gpu_h200,ifdda_gpu_sp,1,3,0.5608136057853698,8.666404755786061e-05,2.472988658197072e-11,0:13.70,54,110,9.714,2.715
1555446,150,gpu_all,ifdda_gpu,10,1,0.5608136304886872,8.309170264570313e-05,2.4729875277379577e-11,0:06.75,54,110,5.53,3.225
1555462,150,gpu_all,ifdda_gpu,10,2,0.5608136304886872,8.309170264570313e-05,2.4729875277379577e-11,0:06.78,54,110,5.555,3.209
1555478,150,gpu_all,ifdda_gpu,10,3,0.5608136304886872,8.309170264570313e-05,2.4729875277379577e-11,0:07.62,54,110,6.397,3.207
1555445,150,gpu_h200,ifdda_gpu,10,1,0.5608136304886872,8.309170264570313e-05,2.4729875277379577e-11,0:08.17,54,110,4.199,2.473
1555461,150,gpu_h200,ifdda_gpu,10,2,0.5608136304886872,8.309170264570313e-05,2.472987527737958e-11,0:08.20,54,110,4.345,2.516
1555477,150,gpu_h200,ifdda_gpu,10,3,0.5608136304886872,8.309170264570313e-05,2.4729875277379567e-11,0:08.45,54,110,4.417,2.56
1555450,150,gpu_all,ifdda_gpu_sp,10,1,0.5608136057853698,9.342141856905073e-05,2.472988480099129e-11,0:06.15,54,110,4.919,2.613
1555466,150,gpu_all,ifdda_gpu_sp,10,2,0.5608136057853698,9.342141856905073e-05,2.472988480099129e-11,0:06.49,54,110,5.26,2.58
1555482,150,gpu_all,ifdda_gpu_sp,10,3,0.5608136057853698,9.342141856905073e-05,2.4729884800991288e-11,0:06.87,54,110,5.635,2.594
1555449,150,gpu_h200,ifdda_gpu_sp,10,1,0.5608136057853698,8.666404755786061e-05,2.472988658197181e-11,0:08.22,54,110,4.345,2.622
1555465,150,gpu_h200,ifdda_gpu_sp,10,2,0.5608136057853698,8.666404755786061e-05,2.472988658197181e-11,0:08.35,54,110,4.346,2.619
1555481,150,gpu_h200,ifdda_gpu_sp,10,3,0.5608136057853698,8.666404755786061e-05,2.472988658197181e-11,0:08.36,54,110,4.35,2.614
1555452,250,gpu_all,ifdda_gpu,1,1,0.5608093949958237,8.335076108749315e-05,2.4730049767174185e-11,0:56.50,54,110,55.154,15.501
1555468,250,gpu_all,ifdda_gpu,1,2,0.5608093949958237,8.335076108749315e-05,2.4730049767174185e-11,0:56.49,54,110,55.162,15.526
1555484,250,gpu_all,ifdda_gpu,1,3,0.5608093949958237,8.335076108749315e-05,2.4730049767174185e-11,0:56.54,54,110,55.21,15.54
1555451,250,gpu_h200,ifdda_gpu,1,1,0.5608093949958237,8.335076108749315e-05,2.4730049767174185e-11,0:44.48,54,110,40.381,8.701
1555467,250,gpu_h200,ifdda_gpu,1,2,0.5608093949958237,8.335076108749315e-05,2.4730049767174185e-11,0:44.43,54,110,40.406,8.761
1555483,250,gpu_h200,ifdda_gpu,1,3,0.5608093949958237,8.335076108749315e-05,2.4730049767174185e-11,0:44.64,54,110,40.345,8.717
1555456,250,gpu_all,ifdda_gpu_sp,1,1,0.560809314250946,8.668898226460443e-05,2.4730050869700395e-11,0:51.45,54,110,50.085,10.528
1555472,250,gpu_all,ifdda_gpu_sp,1,2,0.560809314250946,8.668898226460443e-05,2.4730050869700395e-11,0:51.35,54,110,49.996,10.49
1555488,250,gpu_all,ifdda_gpu_sp,1,3,0.560809314250946,8.668898226460443e-05,2.4730050869700395e-11,0:51.38,54,110,50.038,10.502
1555455,250,gpu_h200,ifdda_gpu_sp,1,1,0.5608093738555908,8.180452277883886e-05,2.4730085937575622e-11,0:45.00,54,110,40.924,9.284
1555471,250,gpu_h200,ifdda_gpu_sp,1,2,0.5608093738555908,8.180452277883886e-05,2.4730085937575622e-11,0:44.94,54,110,40.939,9.279000000000002
1555487,250,gpu_h200,ifdda_gpu_sp,1,3,0.5608093738555908,8.180452277883886e-05,2.4730085937575622e-11,0:45.06,54,110,40.908,9.251
1555454,250,gpu_all,ifdda_gpu,10,1,0.5608093949958237,8.335076108749315e-05,2.47300497671755e-11,0:26.88,54,110,25.543,15.522
1555470,250,gpu_all,ifdda_gpu,10,2,0.5608093949958237,8.335076108749315e-05,2.47300497671755e-11,0:26.32,54,110,24.991,15.455
1555486,250,gpu_all,ifdda_gpu,10,3,0.5608093949958237,8.335076108749315e-05,2.47300497671755e-11,0:26.35,54,110,25.03,15.484
1555453,250,gpu_h200,ifdda_gpu,10,1,0.5608093949958237,8.335076108749315e-05,2.4730049767175503e-11,0:19.62,54,110,15.685,8.683
1555469,250,gpu_h200,ifdda_gpu,10,2,0.5608093949958237,8.335076108749315e-05,2.4730049767175503e-11,0:19.91,54,110,15.699,8.708
1555485,250,gpu_h200,ifdda_gpu,10,3,0.5608093949958237,8.335076108749315e-05,2.4730049767175503e-11,0:19.68,54,110,15.619,8.628
1555458,250,gpu_all,ifdda_gpu_sp,10,1,0.560809314250946,8.668898226460443e-05,2.473005086969777e-11,0:22.31,54,110,20.962,10.485
1555474,250,gpu_all,ifdda_gpu_sp,10,2,0.560809314250946,8.668898226460443e-05,2.473005086969777e-11,0:22.16,54,110,20.808,10.604
1555490,250,gpu_all,ifdda_gpu_sp,10,3,0.560809314250946,8.668898226460443e-05,2.473005086969777e-11,0:22.71,54,110,21.373,10.528
1555457,250,gpu_h200,ifdda_gpu_sp,10,1,0.5608093738555908,8.180452277883886e-05,2.4730085937571667e-11,0:20.07,54,110,16.118,9.14
1555473,250,gpu_h200,ifdda_gpu_sp,10,2,0.5608093738555908,8.180452277883886e-05,2.473008593757167e-11,0:20.22,54,110,16.113,9.117
1555489,250,gpu_h200,ifdda_gpu_sp,10,3,0.5608093738555908,8.180452277883886e-05,2.473008593757167e-11,0:20.19,54,110,16.218,9.237
