JOBID,N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
1555527,150,150,GPFA,3,5.60813630488707582E-01,8.38489261812856783E-05,24.729875277380511,3.5890128352951653,NA,54,108,12.0607,11.2860,10.9625
1555531,150,150,GPFA,1,5.60813630488707582E-01,8.38489261812856783E-05,24.729875277380511,3.5890128352951653,NA,54,108,12.0594,11.2612,10.9164
1555535,150,75,GPFA,2,5.60813630488640302E-01,8.39991720120089456E-05,24.729875277381467,3.5890128352953039,NA,54,108,21.4763,20.6552,20.0494
1555537,250,125,FFTW,3,5.60809394995799515E-01,8.48793014537765173E-05,24.730049767185697,3.5890381587609497,NA,54,108,40.4782,38.6785,36.4907
1555533,250,250,GPFA,2,5.60809394995801069E-01,8.63936578804260234E-05,24.730049767170886,3.5890381587588003,NA,54,108,40.8566,38.4826,37.5235
1555550,150,15,FFTW,2,5.60813630488829373E-01,8.67551761429728258E-05,24.729875277394079,3.5890128352971344,NA,54,108,32.9075,30.7860,28.4448
1555540,150,2,FFTW,1,5.60813630491030835E-01,8.65512831234609739E-05,24.729875277367817,3.5890128352933233,NA,54,108,92.1396,86.6159,83.7611
1555542,250,50,FFTW,2,5.60809394995799515E-01,8.88892644085464989E-05,24.730049767179239,3.5890381587600122,NA,54,108,97.3642,94.0268,89.5269
1555551,250,50,FFTW,1,5.60809394995799626E-01,8.87065106540420968E-05,24.730049767168364,3.5890381587584343,NA,54,108,97.4292,94.0605,89.4661
1555530,150,1,FFTW,3,5.60813630489956139E-01,8.65551311531329238E-05,24.729875277384007,3.5890128352956725,NA,54,108,169.2691,159.6475,154.8973
1555538,250,50,GPFA,1,5.60809394995799515E-01,8.91762299484933940E-05,24.730049767148525,3.5890381587555549,NA,54,108,186.9664,183.9413,179.3226
1555566,150,25,GPFA,2,5.60813630488490422E-01,8.34583409497957802E-05,24.729875277380703,3.5890128352951933,NA,54,108,40.2397,39.1918,37.6264
1555545,250,10,GPFA,2,5.60809394997496491E-01,8.22547057255410913E-05,24.730049767475869,3.5890381588030618,NA,54,108,389.5725,383.6163,374.5723
1555552,250,15,GPFA,1,5.60809394996412358E-01,8.20851643104327297E-05,24.730049766981782,3.589038158731356,NA,54,108,394.2052,387.7188,375.6020
1555556,150,1,GPFA,3,5.60813630489956250E-01,8.64244118052136386E-05,24.729875277398342,3.5890128352977531,NA,54,108,374.6217,368.0327,363.0738
1555577,250,250,FFTW,3,5.60809394995801291E-01,8.55759863485387132E-05,24.730049767170097,3.5890381587586857,NA,54,108,23.7612,20.5661,19.6575
1555574,150,150,FFTW,2,5.60813630488707471E-01,8.39929596011948157E-05,24.729875277381009,3.5890128352952373,NA,54,108,8.3584,6.6286,6.2886
1555582,150,15,GPFA,2,5.60813630488829484E-01,8.66600390650817362E-05,24.729875277377779,3.5890128352947688,NA,54,108,59.7818,58.5033,56.1447
1555568,250,10,FFTW,1,5.60809394997496602E-01,8.16134899370296189E-05,24.730049767266276,3.5890381587726443,NA,54,108,187.5541,180.9821,170.7271
1555589,150,15,FFTW,3,5.60813630488829373E-01,8.67084159411974297E-05,24.729875277368802,3.5890128352934658,NA,54,108,32.9526,30.6995,28.1730
1555587,150,25,GPFA,3,5.60813630488490422E-01,8.34583409497957802E-05,24.729875277380703,3.5890128352951933,NA,54,108,40.0177,38.9947,37.4937
1555591,150,25,FFTW,1,5.60813630488490200E-01,8.47025018180131177E-05,24.729875277385233,3.5890128352958506,NA,54,108,22.8994,21.1538,19.6102
1555598,150,25,GPFA,1,5.60813630488490422E-01,8.34583409497957802E-05,24.729875277380703,3.5890128352951933,NA,54,108,40.0719,39.0495,37.5163
1555599,150,75,GPFA,1,5.60813630488640302E-01,8.39991720120089456E-05,24.729875277381467,3.5890128352953039,NA,54,108,21.4113,20.5959,19.9643
1555570,250,10,GPFA,1,5.60809394997496491E-01,8.22547057255410913E-05,24.730049767475869,3.5890381588030618,NA,54,108,392.8054,386.8142,377.0280
1555612,250,50,GPFA,2,5.60809394995799515E-01,8.91762299484933940E-05,24.730049767148525,3.5890381587555549,NA,54,108,186.3724,183.3626,178.5777
1555615,150,5,GPFA,3,5.60813630487592474E-01,8.38695786816468240E-05,24.729875277386746,3.58901283529607,NA,54,108,103.3714,101.3645,98.5451
1555622,250,125,FFTW,2,5.60809394995799515E-01,8.75448370351300515E-05,24.730049767174947,3.5890381587593896,NA,54,108,40.5520,38.7577,36.7275
1555629,150,15,GPFA,1,5.60813630488829484E-01,8.66600390650817362E-05,24.729875277377779,3.5890128352947688,NA,54,108,59.4408,58.1709,55.8026
1555613,150,2,GPFA,3,5.60813630491031057E-01,8.62235976603688720E-05,24.729875277385759,3.589012835295927,NA,54,108,199.6381,195.8590,193.2002
1555614,150,50,FFTW,2,5.60813630488767756E-01,8.44747148946916536E-05,24.729875277382789,3.5890128352954958,NA,54,108,18.3317,16.6712,15.6597
1555617,150,2,FFTW,2,5.60813630491030723E-01,8.65144377075489630E-05,24.729875277366123,3.5890128352930772,NA,54,108,92.3231,86.8864,84.4224
1555619,150,2,FFTW,3,5.60813630491030835E-01,8.66131843741594325E-05,24.729875277386476,3.5890128352960309,NA,54,108,93.2820,87.8417,85.3896
1555618,250,50,FFTW,3,5.60809394995799515E-01,8.86416477292630689E-05,24.730049767137366,3.5890381587539357,NA,54,108,97.6958,94.3192,89.7628
1555579,250,1,FFTW,1,5.60809395002264677E-01,8.40494510398364286E-05,24.730049767212854,3.589038158764891,NA,54,108,975.4120,941.5937,919.5767
1555634,150,150,FFTW,1,5.60813630488707360E-01,8.43392532885918760E-05,24.729875277380362,3.5890128352951436,NA,54,108,8.3186,6.6051,6.2689
1555625,150,1,FFTW,1,5.60813630489956139E-01,8.64768532614751780E-05,24.729875277386455,3.5890128352960278,NA,54,108,170.1490,160.6586,155.8501
1555630,150,10,GPFA,3,5.60813630489190418E-01,8.61542946571827294E-05,24.729875277371189,3.5890128352938122,NA,54,108,69.7757,68.3923,66.3195
1555607,250,1,FFTW,3,5.60809395002264566E-01,8.40455811914519926E-05,24.730049767480303,3.5890381588037052,NA,54,108,979.3569,945.8388,923.8187
1555586,250,1,FFTW,2,5.60809395002264788E-01,8.40562545146380803E-05,24.730049767029335,3.5890381587382572,NA,54,108,998.2713,964.4669,942.7053
1555648,250,25,GPFA,2,5.60809394995075761E-01,7.88219894624834062E-05,24.730049767258951,3.5890381587715807,NA,54,108,236.9126,233.1064,225.0993
1555646,150,15,GPFA,3,5.60813630488829484E-01,8.66600390650817362E-05,24.729875277377779,3.5890128352947688,NA,54,108,59.1719,57.9031,55.6258
1555650,150,50,GPFA,2,5.60813630488767867E-01,8.40843026638914706E-05,24.729875277382877,3.5890128352955086,NA,54,108,30.8696,29.9928,28.9901
1555608,150,10,FFTW,2,5.60813630489190307E-01,8.61042740645319205E-05,24.729875277386917,3.5890128352960948,NA,54,108,35.4609,33.0458,31.0682
1555644,250,10,GPFA,3,5.60809394997496491E-01,8.22547057255410913E-05,24.730049767475869,3.5890381588030618,NA,54,108,392.1243,386.2332,376.2291
1555654,250,5,FFTW,3,5.60809395002057287E-01,8.39379623691532191E-05,24.730049767380311,3.5890381587891937,NA,54,108,297.5116,287.1541,274.1448
1555668,150,10,GPFA,1,5.60813630489190418E-01,8.61542946571827294E-05,24.729875277371189,3.5890128352938122,NA,54,108,70.1132,68.7236,66.6676
1555620,150,10,GPFA,2,5.60813630489190418E-01,8.61542946571827294E-05,24.729875277371189,3.5890128352938122,NA,54,108,69.5276,68.1524,66.0950
1555660,250,5,FFTW,1,5.60809395002057287E-01,8.39372553408796720E-05,24.73004976725786,3.5890381587714226,NA,54,108,290.0866,279.8703,266.5104
1555684,250,125,FFTW,1,5.60809394995799515E-01,8.56178435280223514E-05,24.730049767176656,3.5890381587596374,NA,54,108,40.4045,38.5989,36.3894
1555687,150,75,FFTW,2,5.60813630488640191E-01,8.35364201455061081E-05,24.729875277380078,3.5890128352951023,NA,54,108,13.3665,11.9110,11.1556
1555685,250,15,FFTW,2,5.60809394996412802E-01,8.21322102114460748E-05,24.73004976713667,3.5890381587538345,NA,54,108,197.3386,190.4853,177.7621
1555677,250,2,GPFA,2,5.60809394998155630E-01,8.46532476177446722E-05,24.730049767108063,3.5890381587496827,NA,54,108,1240.0434,1223.2207,1211.0191
1555692,150,25,FFTW,3,5.60813630488490200E-01,8.43514896624375293E-05,24.729875277386224,3.5890128352959945,NA,54,108,22.9837,21.1674,19.5129
1555611,250,250,FFTW,2,5.60809394995801291E-01,8.68545526920472857E-05,24.730049767173409,3.5890381587591662,NA,54,108,24.2763,20.5640,19.6781
1555628,250,250,FFTW,1,5.60809394995801291E-01,8.48480027181828275E-05,24.730049767163884,3.5890381587577838,NA,54,108,23.6482,20.6560,19.7735
1555700,250,250,GPFA,3,5.60809394995801069E-01,8.63936578804260234E-05,24.730049767170886,3.5890381587588003,NA,54,108,41.2741,38.9623,38.0065
1555701,150,5,GPFA,1,5.60813630487592474E-01,8.38695786816468240E-05,24.729875277386746,3.58901283529607,NA,54,108,103.9306,101.9291,99.1035
1555704,150,150,GPFA,2,5.60813630488707582E-01,8.38489261812856783E-05,24.729875277380511,3.5890128352951653,NA,54,108,12.0607,11.2736,10.9741
1555707,150,25,FFTW,2,5.60813630488490311E-01,8.45370973116023599E-05,24.729875277375754,3.5890128352944748,NA,54,108,23.0173,21.2863,19.5980
1555698,250,15,GPFA,2,5.60809394996412358E-01,8.20851643104327297E-05,24.730049766981782,3.589038158731356,NA,54,108,396.3764,389.8423,376.5831
1555705,250,25,FFTW,2,5.60809394995075983E-01,7.86595457148335449E-05,24.730049767246019,3.589038158769704,NA,54,108,119.7154,115.5515,108.3728
1555652,250,15,FFTW,3,5.60809394996412802E-01,8.21316639695306188E-05,24.730049767349506,3.5890381587847231,NA,54,108,197.3392,190.5149,178.5926
1555664,250,125,GPFA,1,5.60809394995799404E-01,8.52360362209573401E-05,24.730049767165941,3.5890381587580826,NA,54,108,78.0161,76.4344,74.1684
