JOBID,N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
1595389,150,1,FFTW,1,0.5608136304904624,8.3827670253697e-05,24729875.277405128,3.5890128352987403,00:02:48,54,108,167.8183,158.2031,153.4525
1595399,150,1,FFTW,2,0.5608136304904624,8.380293918936046e-05,24729875.277376663,3.589012835294609,00:02:52,54,108,171.4472,161.8897,157.1441
1595313,150,1,FFTW,3,0.5608136304904624,8.3827670253697e-05,24729875.277405128,3.5890128352987403,00:02:48,54,108,167.777,158.1653,153.4001
1595344,150,1,GPFA,1,0.5608136304904624,8.332961830681593e-05,24729875.277371395,3.589012835293844,00:06:09,54,108,368.8151,362.3116,357.3847
1595535,150,1,GPFA,2,0.5608136304904624,8.332961830681593e-05,24729875.277371395,3.589012835293844,00:06:12,54,108,371.1035,364.4122,359.5118
1595516,150,1,GPFA,3,0.5608136304904624,8.332961830681593e-05,24729875.277371395,3.589012835293844,00:06:10,54,108,370.0488,363.4036,358.4718
1595352,150,2,FFTW,1,0.5608136304890537,8.430990116181324e-05,24729875.277388256,3.589012835296292,00:01:36,54,108,92.4545,86.941,84.5339
1595556,150,2,FFTW,2,0.5608136304890536,8.446030294216273e-05,24729875.27741152,3.589012835299667,00:01:34,54,108,93.4856,88.1149,85.688
1595451,150,2,FFTW,3,0.5608136304890536,8.446030294216273e-05,24729875.27741152,3.589012835299667,00:01:34,54,108,92.8621,87.4924,85.0492
1595359,150,2,GPFA,1,0.5608136304890536,8.437224548154786e-05,24729875.277376447,3.5890128352945783,00:03:19,54,108,198.5068,194.7147,192.1107
1595378,150,2,GPFA,2,0.5608136304890536,8.437224548154786e-05,24729875.277376447,3.5890128352945783,00:03:20,54,108,199.7394,195.9604,193.3449
1595454,150,2,GPFA,3,0.5608136304890536,8.437224548154786e-05,24729875.277376447,3.5890128352945783,00:03:21,54,108,199.4263,195.6198,193.0167
1595455,150,5,FFTW,1,0.5608136304883625,8.583634788248556e-05,24729875.277386528,3.5890128352960406,00:00:55,54,108,54.5403,51.3422,48.4125
1595360,150,5,FFTW,2,0.5608136304883625,8.583706294964357e-05,24729875.277396817,3.5890128352975337,00:00:55,54,108,53.6934,50.4189,47.5252
1595330,150,5,FFTW,3,0.5608136304883625,8.585186618552046e-05,24729875.27739089,3.589012835296673,00:00:54,54,108,53.8708,50.4926,47.5302
1595340,150,5,GPFA,1,0.5608136304883625,8.58439434789317e-05,24729875.277353927,3.5890128352913093,00:01:43,54,108,102.7178,100.7299,97.8982
1595528,150,5,GPFA,2,0.5608136304883625,8.58439434789317e-05,24729875.277353927,3.5890128352913093,00:01:43,54,108,102.3367,100.3591,97.597
1595467,150,5,GPFA,3,0.5608136304883625,8.58439434789317e-05,24729875.277353927,3.5890128352913093,00:01:42,54,108,101.8123,99.8436,97.058
1595526,150,10,FFTW,1,0.560813630488439,8.625168404128126e-05,24729875.277386777,3.5890128352960766,00:00:35,54,108,35.4137,32.8979,30.8681
1595375,150,10,FFTW,2,0.5608136304884391,9.105074098882072e-05,24729875.27738212,3.5890128352954003,00:00:40,54,108,35.5678,33.2116,31.2886
1595391,150,10,FFTW,3,0.5608136304884391,8.742990100694256e-05,24729875.277393047,3.5890128352969866,00:00:40,54,108,35.1973,32.7965,30.8799
1595508,150,10,GPFA,1,0.560813630488439,8.44158310308015e-05,24729875.27737652,3.5890128352945885,00:01:10,54,108,69.4695,68.0868,66.0463
1595377,150,10,GPFA,2,0.560813630488439,8.44158310308015e-05,24729875.27737652,3.5890128352945885,00:01:11,54,108,69.6833,68.2861,66.1905
1595493,150,10,GPFA,3,0.560813630488439,8.44158310308015e-05,24729875.27737652,3.5890128352945885,00:01:10,54,108,68.9058,67.5211,65.4131
1595394,150,15,FFTW,1,0.5608136304885136,8.613901002880646e-05,24729875.277376093,3.5890128352945263,00:00:34,54,108,32.9277,30.8932,28.4152
1595543,150,15,FFTW,2,0.5608136304885136,8.596801220316045e-05,24729875.27737819,3.5890128352948305,00:00:33,54,108,32.7215,30.6005,28.3493
1595485,150,15,FFTW,3,0.5608136304885136,8.605712665899433e-05,24729875.27738997,3.58901283529654,00:00:34,54,108,32.7267,30.6727,28.5278
1595319,150,15,GPFA,1,0.5608136304885136,8.577238737449486e-05,24729875.277381804,3.589012835295355,00:01:01,54,108,59.7005,58.427,56.2189
1595384,150,15,GPFA,2,0.5608136304885136,8.577238737449486e-05,24729875.277381804,3.589012835295355,00:01:00,54,108,59.5731,58.3001,56.019
1595326,150,15,GPFA,3,0.5608136304885136,8.577238737449486e-05,24729875.277381804,3.589012835295355,00:01:00,54,108,59.8552,58.5932,56.3021
1595530,150,25,FFTW,1,0.5608136304886627,8.872105266981781e-05,24729875.27738669,3.589012835296065,00:00:23,54,108,23.0956,21.2101,19.8404
1595356,150,25,FFTW,2,0.5608136304886627,8.77581587873113e-05,24729875.277382035,3.5890128352953883,00:00:23,54,108,22.8817,21.0425,19.7148
1595486,150,25,FFTW,3,0.5608136304886627,8.831626379073855e-05,24729875.27737653,3.5890128352945894,00:00:24,54,108,23.024,21.1684,19.6973
1595390,150,25,GPFA,1,0.5608136304886627,8.88269278629382e-05,24729875.27738808,3.5890128352962654,00:00:41,54,108,40.0656,39.0402,37.5415
1595452,150,25,GPFA,2,0.5608136304886627,8.88269278629382e-05,24729875.27738808,3.5890128352962654,00:00:41,54,108,40.0497,39.0215,37.4765
1595423,150,25,GPFA,3,0.5608136304886627,8.88269278629382e-05,24729875.27738808,3.5890128352962654,00:00:40,54,108,40.0897,39.0415,37.5328
1595472,150,50,FFTW,1,0.5608136304888053,8.595692469689406e-05,24729875.27738424,3.589012835295708,00:00:20,54,108,18.7825,16.9738,16.0325
1595517,150,50,FFTW,2,0.5608136304888054,8.677920500702034e-05,24729875.2773787,3.5890128352949047,00:00:19,54,108,18.6235,16.8198,15.8925
1595461,150,50,FFTW,3,0.5608136304888054,8.691036327287187e-05,24729875.27737968,3.589012835295045,00:00:20,54,108,18.8884,17.0745,16.0302
1595506,150,50,GPFA,1,0.5608136304888054,8.647105647484817e-05,24729875.277382445,3.589012835295448,00:00:32,54,108,30.8024,29.8893,28.9291
1595370,150,50,GPFA,2,0.5608136304888054,8.647105647484817e-05,24729875.277382445,3.589012835295448,00:00:32,54,108,30.7128,29.8262,28.8753
1595365,150,50,GPFA,3,0.5608136304888054,8.647105647484817e-05,24729875.277382445,3.589012835295448,00:00:32,54,108,30.7191,29.837,28.8852
1595368,150,75,FFTW,1,0.5608136304887126,8.34178355485705e-05,24729875.277380746,3.5890128352952013,00:00:20,54,108,13.2989,11.8358,11.1377
1595519,150,75,FFTW,2,0.5608136304887125,8.359738833323333e-05,24729875.2773788,3.58901283529492,00:00:14,54,108,13.4026,11.8983,11.1617
1595432,150,75,FFTW,3,0.5608136304887126,8.353122017639587e-05,24729875.277380567,3.589012835295176,00:00:14,54,108,13.3562,11.898,11.2309
1595318,150,75,GPFA,1,0.5608136304887126,8.790427050106738e-05,24729875.277380235,3.589012835295127,00:00:22,54,108,21.4746,20.6496,20.0109
1595400,150,75,GPFA,2,0.5608136304887126,8.790427050106738e-05,24729875.277380235,3.589012835295127,00:00:22,54,108,21.4399,20.6293,19.9799
1595339,150,75,GPFA,3,0.5608136304887126,8.790427050106738e-05,24729875.277380235,3.589012835295127,00:00:22,54,108,21.4501,20.642,20.0046
