JOBID,N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
1555625,150,1,FFTW,1,0.560813630489956,8.647685326147516e-05,24.72987527738645,3.589012835296028,,54,108,170.149,160.6586,155.8501
1555723,150,1,FFTW,2,0.560813630489956,8.648329964404118e-05,24.729875277394427,3.5890128352971846,,54,108,168.5935,159.1002,154.3437
1555530,150,1,FFTW,3,0.560813630489956,8.655513115313292e-05,24.729875277384007,3.5890128352956725,,54,108,169.2691,159.6475,154.8973
1555738,150,1,GPFA,1,0.5608136304899562,8.642441180521364e-05,24.729875277398342,3.5890128352977526,,54,108,373.6637,367.0103,362.081
1555783,150,1,GPFA,2,0.5608136304899562,8.642441180521364e-05,24.729875277398342,3.5890128352977526,,54,108,368.0335,361.5103,356.503
1555556,150,1,GPFA,3,0.5608136304899562,8.642441180521364e-05,24.729875277398342,3.5890128352977526,,54,108,374.6217,368.0327,363.0738
1555540,150,2,FFTW,1,0.5608136304910308,8.655128312346097e-05,24.729875277367817,3.5890128352933237,,54,108,92.1396,86.6159,83.7611
1555617,150,2,FFTW,2,0.5608136304910307,8.651443770754896e-05,24.729875277366123,3.589012835293077,,54,108,92.3231,86.8864,84.4224
1555619,150,2,FFTW,3,0.5608136304910308,8.661318437415942e-05,24.72987527738648,3.589012835296031,,54,108,93.282,87.8417,85.3896
1555695,150,2,GPFA,1,0.5608136304910312,8.622359766036886e-05,24.72987527738576,3.589012835295927,,54,108,197.1582,193.3986,190.8045
1555724,150,2,GPFA,2,0.5608136304910312,8.622359766036886e-05,24.72987527738576,3.589012835295927,,54,108,199.7622,195.9798,193.365
1555613,150,2,GPFA,3,0.5608136304910312,8.622359766036886e-05,24.72987527738576,3.589012835295927,,54,108,199.6381,195.859,193.2002
1555785,150,5,FFTW,1,0.5608136304875924,8.361709346506647e-05,24.72987527738992,3.5890128352965305,,54,108,55.3466,52.1085,49.2545
1555732,150,5,FFTW,2,0.5608136304875924,8.415864403899981e-05,24.729875277380845,3.5890128352952138,,54,108,53.6276,50.4756,47.7094
1555728,150,5,FFTW,3,0.5608136304875924,8.38746705942915e-05,24.72987527737897,3.5890128352949406,,54,108,53.252,50.1032,47.1667
1555701,150,5,GPFA,1,0.5608136304875925,8.386957868164681e-05,24.729875277386743,3.58901283529607,,54,108,103.9306,101.9291,99.1035
1555761,150,5,GPFA,2,0.5608136304875925,8.386957868164681e-05,24.729875277386743,3.58901283529607,,54,108,102.8603,100.8763,98.0851
1555615,150,5,GPFA,3,0.5608136304875925,8.386957868164681e-05,24.729875277386743,3.58901283529607,,54,108,103.3714,101.3645,98.5451
1555741,150,10,FFTW,1,0.5608136304891903,8.611124092247837e-05,24.729875277371665,3.589012835293881,,54,108,35.4986,33.199,31.1991
1555608,150,10,FFTW,2,0.5608136304891903,8.610427406453192e-05,24.72987527738692,3.589012835296095,,54,108,35.4609,33.0458,31.0682
1555764,150,10,FFTW,3,0.5608136304891904,8.61024259801619e-05,24.72987527737803,3.5890128352948047,,54,108,35.6766,33.2613,31.2287
1555668,150,10,GPFA,1,0.5608136304891904,8.615429465718273e-05,24.72987527737119,3.589012835293812,,54,108,70.1132,68.7236,66.6676
