JOBID,N,FFT,OMP,rep,first_residual,last_residual,Qext,elapsed_time,elapsed_seconds,num_iterations
1555526,150,FFTMKL,15,3,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555547,150,FFTMKL,5,1,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555554,150,FFTMKL,10,1,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555555,150,FFTMKL,25,2,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555529,150,GPFAFT,1,1,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555528,150,GPFAFT,1,3,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555561,150,GPFAFT,5,2,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555564,150,GPFAFT,25,2,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555565,150,GPFAFT,15,2,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555578,150,GPFAFT,25,3,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555569,150,GPFAFT,2,2,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555572,150,FFTMKL,1,1,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555571,150,GPFAFT,150,1,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555575,150,GPFAFT,2,1,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555592,150,FFTMKL,2,2,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555583,150,GPFAFT,150,2,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555593,150,GPFAFT,2,3,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555627,150,GPFAFT,10,3,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555631,150,GPFAFT,75,3,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555536,250,FFTMKL,25,3,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555539,250,FFTMKL,15,2,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555559,250,FFTMKL,5,3,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
