JOBID,N,FFT,OMP,rep,first_residual,last_residual,Qext,elapsed_time,elapsed_seconds,num_iterations
1555572,150,FFTMKL,1,1,0.560813630488733,8.50114644079e-05,3.589012835298543,00:06:22,382.0,54
1555655,150,FFTMKL,1,2,0.560813630488733,8.50114644079e-05,3.589012835298543,00:06:21,381.0,54
1555663,150,FFTMKL,1,3,0.560813630488733,8.50114644079e-05,3.589012835298543,00:06:22,382.0,54
1555529,150,GPFAFT,1,1,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:07:23,443.0,54
1555699,150,GPFAFT,1,2,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:07:21,441.0,54
1555528,150,GPFAFT,1,3,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:07:22,442.0,54
1555689,150,FFTMKL,2,1,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:51,351.0,54
1555592,150,FFTMKL,2,2,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:52,352.0,54
1555768,150,FFTMKL,2,3,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:52,352.0,54
1555575,150,GPFAFT,2,1,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:53,413.0,54
1555569,150,GPFAFT,2,2,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:52,412.0,54
1555593,150,GPFAFT,2,3,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:51,411.0,54
1555547,150,FFTMKL,5,1,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:37,337.0,54
1555693,150,FFTMKL,5,2,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:37,337.0,54
1555769,150,FFTMKL,5,3,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:37,337.0,54
1555681,150,GPFAFT,5,1,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:38,398.0,54
1555561,150,GPFAFT,5,2,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:36,396.0,54
1555662,150,GPFAFT,5,3,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:37,397.0,54
1555554,150,FFTMKL,10,1,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:37,337.0,54
1555715,150,FFTMKL,10,2,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:36,336.0,54
1555676,150,FFTMKL,10,3,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:36,336.0,54
1555656,150,GPFAFT,10,1,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:36,396.0,54
1555626,150,GPFAFT,10,2,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:36,396.0,54
1555627,150,GPFAFT,10,3,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:36,396.0,54
1555651,150,FFTMKL,15,1,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:37,337.0,54
1555737,150,FFTMKL,15,2,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:33,333.0,54
1555526,150,FFTMKL,15,3,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:35,335.0,54
1555752,150,GPFAFT,15,1,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:33,393.0,54
1555565,150,GPFAFT,15,2,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:34,394.0,54
1555716,150,GPFAFT,15,3,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:32,392.0,54
1555678,150,FFTMKL,25,1,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:34,334.0,54
1555555,150,FFTMKL,25,2,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:35,335.0,54
1555717,150,FFTMKL,25,3,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:35,335.0,54
1555778,150,GPFAFT,25,1,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:37,397.0,54
1555564,150,GPFAFT,25,2,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:37,397.0,54
1555578,150,GPFAFT,25,3,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:38,398.0,54
1555709,150,FFTMKL,50,1,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:38,338.0,54
1555641,150,FFTMKL,50,2,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:38,338.0,54
1555760,150,FFTMKL,50,3,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:38,338.0,54
1555661,150,GPFAFT,50,1,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:36,396.0,54
1555609,150,GPFAFT,50,2,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:39,399.0,54
1555711,150,GPFAFT,50,3,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:34,394.0,54
1555694,150,FFTMKL,75,1,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:37,337.0,54
1555653,150,FFTMKL,75,2,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:39,339.0,54
1555691,150,FFTMKL,75,3,0.560813630488733,8.50114644079e-05,3.589012835298543,00:05:38,338.0,54
1555621,150,GPFAFT,75,1,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:40,400.0,54
1555774,150,GPFAFT,75,2,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:35,395.0,54
1555631,150,GPFAFT,75,3,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:06:41,401.0,54
1555683,150,FFTMKL,150,1,0.560813630488733,8.50114644079e-05,3.589012835298543,00:06:05,365.0,54
1555688,150,FFTMKL,150,2,0.560813630488733,8.50114644079e-05,3.589012835298543,00:06:06,366.0,54
1555605,150,FFTMKL,150,3,0.560813630488733,8.50114644079e-05,3.589012835298543,00:06:08,368.0,54
1555571,150,GPFAFT,150,1,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:07:07,427.0,54
1555583,150,GPFAFT,150,2,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:07:13,433.0,54
1555624,150,GPFAFT,150,3,0.5608136304887325,8.52000774872e-05,3.5890128352944126,00:07:13,433.0,54
1555649,250,FFTMKL,1,1,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:31:13,1873.0,54
1555722,250,FFTMKL,1,2,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:32:05,1925.0,54
1555603,250,FFTMKL,1,3,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:31:12,1872.0,54
1555727,250,GPFAFT,1,1,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:35:07,2107.0,54
1555562,250,GPFAFT,1,2,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:35:00,2100.0,54
1555588,250,GPFAFT,1,3,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:35:00,2100.0,54
1555702,250,FFTMKL,2,1,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:28:56,1736.0,54
1555553,250,FFTMKL,2,2,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:28:48,1728.0,54
1555594,250,FFTMKL,2,3,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:28:52,1732.0,54
1555672,250,GPFAFT,2,1,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:32:54,1974.0,54
1555680,250,GPFAFT,2,2,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:32:54,1974.0,54
1555780,250,GPFAFT,2,3,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:32:52,1972.0,54
1555563,250,FFTMKL,5,1,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:40,1660.0,54
1555759,250,FFTMKL,5,2,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:43,1663.0,54
1555559,250,FFTMKL,5,3,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:45,1665.0,54
1555743,250,GPFAFT,5,1,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:25,1885.0,54
1555747,250,GPFAFT,5,2,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:38,1898.0,54
1555643,250,GPFAFT,5,3,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:32,1892.0,54
1555740,250,FFTMKL,10,1,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:26,1646.0,54
1555665,250,FFTMKL,10,2,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:24,1644.0,54
1555731,250,FFTMKL,10,3,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:31,1651.0,54
1555580,250,GPFAFT,10,1,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:22,1882.0,54
1555558,250,GPFAFT,10,2,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:23,1883.0,54
