JOBID,N,OMP,EXE,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
1595458,150,1,ifdda,1,0.5608136304739361,8.447661532553058e-05,2.472987527739871e-11,00:03:08,54,110,187.01,163.427
1595477,150,1,ifdda,2,0.5608136304739361,8.492192538531132e-05,2.4729875277420742e-11,00:03:07,54,110,186.37,163.017
1595449,150,1,ifdda,3,0.5608136304739361,8.538970049530891e-05,2.4729875277336796e-11,00:03:13,54,110,191.791,168.142
1595507,150,2,ifdda,1,0.5608136304887262,8.642412712114992e-05,2.4729875277441183e-11,00:01:50,54,110,109.528,88.936
1595545,150,2,ifdda,2,0.5608136304887262,8.642412712114992e-05,2.4729875277441183e-11,00:01:51,54,110,110.045,89.784
1595422,150,2,ifdda,3,0.5608136304887261,8.648717544891653e-05,2.4729875277380805e-11,00:01:52,54,110,112.335,91.814
1595482,150,5,ifdda,1,0.5608136304909409,8.69435565141562e-05,2.472987527736008e-11,00:01:06,54,110,64.821,52.5
1595411,150,5,ifdda,2,0.560813630490941,8.699258039340206e-05,2.472987527740981e-11,00:01:06,54,110,65.21,52.765
1595440,150,5,ifdda,3,0.5608136304909409,8.692593003928068e-05,2.4729875277404425e-11,00:01:03,54,110,63.143,50.659
1595355,150,10,ifdda,1,0.5608136304898139,8.153984800852461e-05,2.4729875277398528e-11,00:01:00,54,110,59.54,44.411
1595424,150,10,ifdda,2,0.5608136304898139,8.160820761893658e-05,2.4729875277374604e-11,00:01:00,54,110,58.685,43.576
1595343,150,10,ifdda,3,0.560813630489814,8.158273886295482e-05,2.4729875277376488e-11,00:00:57,54,110,55.97,40.815
1595409,150,15,ifdda,1,0.560813630488704,8.385949584626482e-05,2.4729875277393287e-11,00:00:48,54,110,46.708,31.076
1595404,150,15,ifdda,2,0.560813630488704,8.388829676603115e-05,2.47298752773676e-11,00:00:48,54,110,47.131,31.912
1595504,150,15,ifdda,3,0.560813630488704,8.4301045719183e-05,2.4729875277362823e-11,00:00:48,54,110,47.746,30.454
1595529,150,25,ifdda,1,0.5608136304882264,8.590942488793182e-05,2.4729875277371567e-11,00:01:05,54,110,65.18,50.328
1595554,150,25,ifdda,2,0.5608136304882265,8.598175357391974e-05,2.4729875277386524e-11,00:01:16,54,110,76.063,58.762
1595324,150,25,ifdda,3,0.5608136304882264,8.580607445072237e-05,2.4729875277388007e-11,00:01:01,54,110,60.259,45.654
1595438,150,50,ifdda,1,0.560813630488526,9.052612685439344e-05,2.47298752773816e-11,00:00:54,54,110,52.663,30.55
1595396,150,50,ifdda,2,0.560813630488526,9.11835689607808e-05,2.4729875277378123e-11,00:00:52,54,110,51.526,29.338
1595548,150,50,ifdda,3,0.5608136304885258,9.082767190090296e-05,2.4729875277387216e-11,00:00:48,54,110,47.583,26.267
1595369,150,75,ifdda,1,0.5608136304887498,8.156141037090262e-05,2.4729875277383034e-11,00:00:49,54,110,42.898,22.75
1595490,150,75,ifdda,2,0.5608136304887501,8.748625582731255e-05,2.4729875277378343e-11,00:00:58,54,110,56.864,34.88
1595537,150,75,ifdda,3,0.5608136304887498,8.638284386062764e-05,2.4729875277382883e-11,00:00:47,54,110,46.033,25.876
1595494,150,150,ifdda,1,0.5608136304885801,9.15653899939613e-05,2.4729875277381025e-11,00:00:45,54,110,44.664,15.678
1595513,150,150,ifdda,2,0.56081363048858,9.20902236544618e-05,2.472987527738044e-11,00:00:53,54,110,51.847,19.908
1595520,150,150,ifdda,3,0.56081363048858,8.372015142003022e-05,2.472987527738064e-11,00:00:53,54,110,52.233,20.48
1595527,250,1,ifdda,1,0.5608093949695172,8.194065246876065e-05,2.473004976669421e-11,00:14:45,54,110,884.397,792.508
1595479,250,1,ifdda,2,0.5608093949695173,8.19497079842428e-05,2.473004976697468e-11,00:14:44,54,110,883.494,791.116
1595405,250,1,ifdda,3,0.5608093949695172,8.195213269263869e-05,2.4730049766416824e-11,00:15:08,54,110,907.683,815.0159999999998
1595333,250,2,ifdda,1,0.5608093949727402,8.443842585256845e-05,2.4730049767494663e-11,00:08:10,54,110,489.6,414.713
1595387,250,2,ifdda,2,0.5608093949727398,8.443267051324252e-05,2.473004976758693e-11,00:08:15,54,110,493.986,418.238
1595300,250,2,ifdda,3,0.5608093949727398,8.442058146164468e-05,2.473004976730669e-11,00:08:19,54,110,498.197,422.398
1595531,250,5,ifdda,1,0.5608093949822768,8.42444768541695e-05,2.4730049766628165e-11,00:04:35,54,110,274.102,232.806
1595321,250,5,ifdda,2,0.5608093949822768,8.425291894247838e-05,2.4730049766945324e-11,00:04:38,54,110,277.782,236.596
1595538,250,5,ifdda,3,0.560809394982277,8.421087589994576e-05,2.4730049766755105e-11,00:04:36,54,110,275.288,233.903
1595335,250,10,ifdda,1,0.5608093949982395,8.150041792157793e-05,2.4730049767012907e-11,00:03:42,54,110,221.844,187.262
1595349,250,10,ifdda,2,0.5608093949982395,8.150274032628921e-05,2.4730049767317336e-11,00:03:42,54,110,221.445,186.288
1595308,250,10,ifdda,3,0.5608093949982395,8.147931543113706e-05,2.473004976686556e-11,00:03:48,54,110,228.056,191.87
1595410,250,15,ifdda,1,0.5608093949984628,8.1765903826973e-05,2.4730049767409447e-11,00:02:54,54,110,173.009,135.777
1595397,250,15,ifdda,2,0.5608093949984628,8.16505873397363e-05,2.4730049767101264e-11,00:02:50,54,110,169.601,135.395
1595385,250,15,ifdda,3,0.5608093949984628,8.163016038833459e-05,2.473004976722604e-11,00:02:51,54,110,170.033,134.701
1595353,250,25,ifdda,1,0.56080939499797,8.300952119953427e-05,2.4730049767386683e-11,00:02:42,54,110,161.472,130.353
1595511,250,25,ifdda,2,0.56080939499797,8.30024638511696e-05,2.4730049767366068e-11,00:02:48,54,110,167.683,135.603
1595386,250,25,ifdda,3,0.5608093949979698,8.311260589011107e-05,2.4730049767283224e-11,00:02:51,54,110,170.378,138.57
1595436,250,50,ifdda,1,0.5608093949967735,9.461296349900158e-05,2.4729993551244964e-11,00:02:01,53,108,120.035,87.063
1595468,250,50,ifdda,2,0.5608093949967735,7.849747992654931e-05,2.4730049767146985e-11,00:02:04,54,110,122.528,88.325
1595445,250,50,ifdda,3,0.5608093949967735,7.885568935537248e-05,2.4730049767121307e-11,00:02:04,54,110,122.807,88.861
1595416,250,125,ifdda,1,0.5608093949953872,8.638571337920542e-05,2.473004976717364e-11,00:02:26,54,110,146.371,82.83799999999998
1595408,250,125,ifdda,2,0.5608093949953871,8.619578718234918e-05,2.4730049767160142e-11,00:01:52,54,110,111.092,72.964
1595437,250,125,ifdda,3,0.5608093949953872,8.640414352957417e-05,2.4730049767172443e-11,00:02:10,54,110,130.081,69.496
