JOBID,N,OMP,EXE,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
1534780,150,1,ifdda,1,0.5608136304739361,8.519884205703595e-05,2.4729875277435463e-11,,54,110,242.594,226.999
1534753,150,1,ifdda,2,0.5608136304739361,8.519884205703595e-05,2.4729875277435463e-11,,54,110,242.725,227.147
1534725,150,1,ifdda,3,0.5608136304739361,8.519884205703595e-05,2.4729875277435463e-11,,54,110,243.519,227.94
1534707,150,1,ifdda_measure,1,0.5608136304739361,8.513540229591818e-05,2.4729875277352942e-11,,54,110,195.004,171.621
1534762,150,1,ifdda_measure,2,0.560813630473936,8.503492930571281e-05,2.4729875277338473e-11,,54,110,190.06,166.56
1534729,150,1,ifdda_measure,3,0.5608136304739361,8.466552443995581e-05,2.4729875277399155e-11,,54,110,189.782,166.229
1534777,150,2,ifdda,1,0.5608136304887262,8.650865060611627e-05,2.4729875277327936e-11,,54,110,129.155,121.071
1534747,150,2,ifdda,2,0.5608136304887262,8.650865060611627e-05,2.4729875277327936e-11,,54,110,129.233,121.157
1534789,150,2,ifdda,3,0.5608136304887262,8.650865060611627e-05,2.4729875277327936e-11,,54,110,129.708,121.639
1534703,150,2,ifdda_measure,1,0.5608136304887262,8.642138934880877e-05,2.472987527734572e-11,,54,110,113.168,92.5
1534772,150,2,ifdda_measure,2,0.5608136304887263,8.643069077064809e-05,2.4729875277399384e-11,,54,110,112.229,91.47300000000001
1534742,150,2,ifdda_measure,3,0.5608136304887262,8.651293151020217e-05,2.472987527744241e-11,,54,110,109.928,89.147
1534786,150,5,ifdda,1,0.5608136304909411,8.704775635618634e-05,2.472987527736064e-11,,54,110,67.556,63.941
1534768,150,5,ifdda,2,0.5608136304909411,8.703210028939749e-05,2.4729875277407504e-11,,54,110,68.007,64.395
1534731,150,5,ifdda,3,0.5608136304909411,8.632900845436573e-05,2.4729875277385248e-11,,54,110,67.584,63.953
1534706,150,5,ifdda_measure,1,0.560813630490941,8.644834321810447e-05,2.4729875277349136e-11,,54,110,64.719,52.42
1534691,150,5,ifdda_measure,2,0.560813630490941,8.614630095520643e-05,2.4729875277381167e-11,,54,110,65.568,53.171
1534767,150,5,ifdda_measure,3,0.560813630490941,8.666763651422693e-05,2.4729875277355902e-11,,54,110,65.432,53.114
1534717,150,10,ifdda,1,0.5608136304898138,8.153038055495967e-05,2.4729875277396176e-11,,54,110,48.976,46.786
1534754,150,10,ifdda,2,0.560813630489814,8.153589220527502e-05,2.472987527737154e-11,,54,110,48.862,46.67
1534781,150,10,ifdda,3,0.560813630489814,8.154160263600892e-05,2.472987527737652e-11,,54,110,49.915,47.717
1534782,150,10,ifdda_measure,1,0.560813630489814,8.160388635517137e-05,2.4729875277400686e-11,,54,110,55.96,39.16
1534741,150,10,ifdda_measure,2,0.5608136304898139,8.139304585494924e-05,2.472987527738461e-11,,54,110,55.806,39.39
1534723,150,10,ifdda_measure,3,0.5608136304898139,8.147951019373998e-05,2.4729875277405892e-11,,54,110,55.727,39.254
1534701,150,15,ifdda,1,0.5608136304887041,8.429158618864814e-05,2.4729875277387254e-11,,54,110,39.658,37.983
1534730,150,15,ifdda,2,0.5608136304887041,8.41205681877411e-05,2.4729875277375596e-11,,54,110,39.507,37.823
1534714,150,15,ifdda,3,0.5608136304887041,8.41784849039119e-05,2.472987527737464e-11,,54,110,39.506,37.829
1534696,150,15,ifdda_measure,1,0.560813630488704,8.420011446361278e-05,2.4729875277390463e-11,,54,110,46.124,30.856
1534764,150,15,ifdda_measure,2,0.560813630488704,8.426804601952147e-05,2.4729875277358655e-11,,54,110,48.209,30.983
1534715,150,15,ifdda_measure,3,0.5608136304887039,8.420769906680946e-05,2.472987527737338e-11,,54,110,45.984,31.051
1534778,150,25,ifdda,1,0.5608136304882264,8.591904635614007e-05,2.472987527737494e-11,,54,110,33.846,30.28
1534744,150,25,ifdda,2,0.5608136304882264,8.585152021325573e-05,2.4729875277382207e-11,,54,110,34.978,30.75
1534790,150,25,ifdda,3,0.5608136304882264,8.590911314258123e-05,2.4729875277383325e-11,,54,110,35.241,30.822
1534738,150,25,ifdda_measure,1,0.5608136304882264,8.586590085863334e-05,2.472987527735916e-11,,54,110,43.652,25.621
1534713,150,25,ifdda_measure,2,0.5608136304882264,8.588394653845413e-05,2.472987527738701e-11,,54,110,46.977,25.238
1534718,150,25,ifdda_measure,3,0.5608136304882264,8.590188232491886e-05,2.4729875277385655e-11,,54,110,43.147,25.735
1534771,150,50,ifdda,1,0.560813630488526,9.089288270395776e-05,2.4729875277371796e-11,,54,110,20.727,18.719
1534739,150,50,ifdda,2,0.560813630488526,9.06546351597084e-05,2.47298752773794e-11,,54,110,22.725,18.282
1534788,150,50,ifdda,3,0.560813630488526,9.185393788231587e-05,2.4729875277386776e-11,,54,110,21.559,18.411
1534724,150,50,ifdda_measure,1,0.560813630488526,9.127162708175325e-05,2.4729875277377806e-11,,54,110,39.087,15.74
1534774,150,50,ifdda_measure,2,0.560813630488526,9.110118761770462e-05,2.4729875277377412e-11,,54,110,36.338,16.141
1534716,150,50,ifdda_measure,3,0.560813630488526,9.127917745109352e-05,2.472987527737109e-11,,54,110,41.513,15.953
1534732,150,75,ifdda,1,0.5608136304887501,8.114396236835592e-05,2.4729875277376827e-11,,54,110,50.415,48.584
1534785,150,75,ifdda,2,0.5608136304887501,8.128616688102611e-05,2.4729875277379832e-11,,54,110,55.841,54.443
1534734,150,75,ifdda,3,0.5608136304887499,8.570436982858937e-05,2.4729875277377503e-11,,54,110,59.215,57.427
1534692,150,75,ifdda_measure,1,0.5608136304887499,8.150649792589655e-05,2.4729875277382537e-11,,54,110,33.779,12.373
1534783,150,75,ifdda_measure,2,0.5608136304887499,8.9188298025922e-05,2.4729875277373128e-11,,54,110,43.424,12.327
1534712,150,75,ifdda_measure,3,0.5608136304887498,8.13716119916771e-05,2.4729875277376556e-11,,54,110,36.602,12.273
1534752,150,150,ifdda,1,0.5608136304885802,9.183080908132573e-05,2.4729875277380705e-11,,54,110,69.537,67.895
1534689,150,150,ifdda,2,0.56081363048858,8.409344004487721e-05,2.47298752773805e-11,,54,110,85.697,83.744
1534758,150,150,ifdda,3,0.56081363048858,9.064200251680749e-05,2.472987527738212e-11,,54,110,79.141,77.331
1534708,150,150,ifdda_measure,1,0.5608136304885801,8.474601998572185e-05,2.4729875277379183e-11,,54,110,40.625,15.19
1534757,150,150,ifdda_measure,2,0.56081363048858,9.01329094612966e-05,2.4729875277380947e-11,,54,110,41.262,15.393
1534736,150,150,ifdda_measure,3,0.56081363048858,9.253018063128064e-05,2.472987527738209e-11,,54,110,40.652,12.479
1534709,250,1,ifdda,1,0.5608093949695174,8.195179910934586e-05,2.4730049767055087e-11,,54,110,1184.639,1115.288
1534745,250,1,ifdda,2,0.5608093949695174,8.195179910934586e-05,2.4730049767055087e-11,,54,110,1179.096,1109.72
1534698,250,1,ifdda,3,0.5608093949695174,8.195179910934586e-05,2.4730049767055087e-11,,54,110,1185.607,1116.186
1534755,250,1,ifdda_measure,1,0.5608093949695172,8.194940798405229e-05,2.47300497670886e-11,,54,110,904.776,812.86
1534769,250,1,ifdda_measure,2,0.5608093949695172,8.194894848443523e-05,2.473004976696188e-11,,54,110,885.013,791.823
1534766,250,1,ifdda_measure,3,0.5608093949695172,8.19453660238382e-05,2.4730049766739718e-11,,54,110,879.192,787.634
1534751,250,2,ifdda,1,0.56080939497274,8.444971463689361e-05,2.473004976688795e-11,,54,110,618.836,583.474
1534763,250,2,ifdda,2,0.56080939497274,8.444971463689361e-05,2.473004976688795e-11,,54,110,622.594,587.132
1534770,250,2,ifdda,3,0.56080939497274,8.444971463689361e-05,2.473004976688795e-11,,54,110,624.734,589.353
1534740,250,2,ifdda_measure,1,0.5608093949727401,8.443596241900381e-05,2.473004976739568e-11,,54,110,499.457,424.598
1534759,250,2,ifdda_measure,2,0.5608093949727398,8.444299242007014e-05,2.473004976729069e-11,,54,110,499.15,424.075
1534784,250,2,ifdda_measure,3,0.56080939497274,8.441898436941923e-05,2.4730049768007156e-11,,54,110,503.272,428.372
1534720,250,5,ifdda,1,0.5608093949822768,8.423171395152275e-05,2.47300497675468e-11,,54,110,322.305,307.103
1534743,250,5,ifdda,2,0.5608093949822768,8.429499806504584e-05,2.473004976717436e-11,,54,110,320.7,305.553
1534728,250,5,ifdda,3,0.5608093949822768,8.425009855204238e-05,2.4730049767671072e-11,,54,110,326.642,311.495
1534721,250,5,ifdda_measure,1,0.5608093949822768,8.421615949791414e-05,2.4730049768244408e-11,,54,110,287.284,246.304
1534727,250,5,ifdda_measure,2,0.560809394982277,8.422989917512471e-05,2.473004976752108e-11,,54,110,284.233,243.041
1534779,250,5,ifdda_measure,3,0.5608093949822768,8.424868934734879e-05,2.473004976718672e-11,,54,110,284.35,243.336
1534700,250,10,ifdda,1,0.5608093949982393,8.151569971587572e-05,2.4730049767130467e-11,,54,110,216.126,207.849
1534726,250,10,ifdda,2,0.5608093949982395,8.152640042426363e-05,2.4730049767273146e-11,,54,110,217.191,208.892
1534737,250,10,ifdda,3,0.5608093949982393,8.14560975542406e-05,2.4730049767167086e-11,,54,110,216.064,207.72
1534705,250,10,ifdda_measure,1,0.5608093949982393,8.152998870941798e-05,2.4730049767004413e-11,,54,110,216.364,182.269
1534694,250,10,ifdda_measure,2,0.5608093949982393,8.152452697274607e-05,2.4730049766880475e-11,,54,110,219.003,183.671
1534697,250,10,ifdda_measure,3,0.5608093949982393,8.154027531203662e-05,2.4730049767148827e-11,,54,110,215.464,181.191
1534787,250,15,ifdda,1,0.5608093949984628,8.17733002022591e-05,2.473004976720991e-11,,54,110,254.353,248.285
1534693,250,15,ifdda,2,0.5608093949984628,8.158820909596317e-05,2.4730049766941172e-11,,54,110,256.176,250.144
1534699,250,15,ifdda,3,0.5608093949984628,8.163089835434673e-05,2.4730049767100598e-11,,54,110,261.252,255.216
1534735,250,15,ifdda_measure,1,0.5608093949984629,8.155782176251702e-05,2.4730049767162705e-11,,54,110,177.46,141.642
1534695,250,15,ifdda_measure,2,0.5608093949984628,8.154249759041662e-05,2.4730049767332277e-11,,54,110,178.61,141.936
1534733,250,15,ifdda_measure,3,0.5608093949984628,8.16387421856557e-05,2.4730049767042007e-11,,54,110,176.911,140.458
1534776,250,25,ifdda,1,0.56080939499797,8.314326542745372e-05,2.473004976721687e-11,,54,110,139.948,131.662
1534722,250,25,ifdda,2,0.56080939499797,8.298354660511469e-05,2.473004976701948e-11,,54,110,147.118,128.903
1534750,250,25,ifdda,3,0.56080939499797,8.290603414184795e-05,2.4730049767255775e-11,,54,110,140.169,129.967
1534711,250,25,ifdda_measure,1,0.56080939499797,8.320342948282038e-05,2.4730049767026327e-11,,54,110,162.079,119.986
1534704,250,25,ifdda_measure,2,0.56080939499797,8.310798662461187e-05,2.4730049767177323e-11,,54,110,158.646,119.16
1534761,250,25,ifdda_measure,3,0.5608093949979698,8.303798207358775e-05,2.473004976702604e-11,,54,110,155.536,117.73
1534702,250,50,ifdda,1,0.5608093949967735,7.855288907661115e-05,2.473004976716327e-11,,54,110,253.709,247.246
1534690,250,50,ifdda,2,0.5608093949967735,7.848587224412697e-05,2.4730049767184835e-11,,54,110,277.46,267.589
1534760,250,50,ifdda,3,0.5608093949967735,7.884079760645275e-05,2.4730049767176208e-11,,54,110,274.456,263.207
1534775,250,50,ifdda_measure,1,0.5608093949967734,7.858255405437214e-05,2.4730049767177775e-11,,54,110,114.775,78.432
