N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
250,10,GPFA,4,5.60809395002060396E-01,8.99458243398043507E-05,24.73004976732442,3.5890381587810825,15:04.58,54,107,904.2207,894.0271,876.7860
250,10,GPFA,2,5.60809395002060396E-01,8.99458243398043507E-05,24.73004976732442,3.5890381587810825,15:04.19,54,107,903.8727,894.0960,875.3318
150,15,GPFA,1,5.60813630488357528E-01,9.27773397414533637E-05,24.729875277399852,3.5890128352979724,2:22.38,54,107,142.0656,140.1191,136.7029
150,15,FFTW,4,5.60813630488357417E-01,9.27436321966755193E-05,24.729875277379897,3.5890128352950761,1:02.43,54,107,62.0924,59.6963,56.3468
150,5,GPFA,3,5.60813630489389370E-01,9.05713829772393015E-05,24.729875277390679,3.5890128352966411,2:11.87,54,107,131.5319,129.6326,126.2054
250,10,FFTW,1,5.60809395002060396E-01,8.99199464482324667E-05,24.73004976721549,3.5890381587652738,5:32.54,54,107,332.2093,321.9300,306.6168
250,10,FFTW,3,5.60809395002060396E-01,8.99554460999777740E-05,24.730049767083173,3.5890381587460705,5:42.78,54,107,342.4585,331.9156,316.6954
250,5,GPFA,1,5.60809394986042764E-01,9.11822773802379552E-05,24.730049766774332,3.589038158701249,15:39.54,54,107,939.2011,928.8454,913.6854
150,1,FFTW,4,5.60813630483392500E-01,8.89192080186921089E-05,24.729875277422011,3.5890128353011881,2:18.34,54,107,138.0155,132.5721,125.6627
150,10,GPFA,2,5.60813630487583037E-01,8.95121837725527508E-05,24.729875277378294,3.5890128352948434,2:23.30,54,107,142.9756,141.1481,137.3859
250,10,GPFA,3,5.60809395002060396E-01,8.99458243398043507E-05,24.73004976732442,3.5890381587810825,15:06.69,54,107,906.3564,895.9885,879.0652
250,15,GPFA,2,5.60809395000495314E-01,9.03823702792689194E-05,24.730049767143438,3.5890381587548168,17:08.74,54,107,1028.4273,1016.1599,991.1076
150,5,FFTW,2,5.60813630489389259E-01,8.98697966867308172E-05,24.729875277372454,3.5890128352939961,1:01.06,54,107,60.7336,57.9945,54.7215
150,15,GPFA,2,5.60813630488357528E-01,9.27773397414533637E-05,24.729875277399852,3.5890128352979724,2:21.90,54,107,141.5805,139.7869,136.3316
150,1,GPFA,2,5.60813630483392611E-01,8.89258094354544064E-05,24.729875277402368,3.5890128352983375,4:49.88,54,107,289.5636,284.6206,277.7832
250,1,FFTW,4,5.60809394951158890E-01,9.20196014380826469E-05,24.730049767024436,3.5890381587375462,14:22.74,54,107,862.4268,835.5036,803.7731
150,15,GPFA,3,5.60813630488357528E-01,9.27773397414533637E-05,24.729875277399852,3.5890128352979724,2:21.39,54,107,141.0786,139.2729,135.9547
250,1,GPFA,3,5.60809394951158668E-01,9.20634170064653585E-05,24.730049766995503,3.5890381587333473,32:40.18,54,107,1959.8651,1935.0818,1903.6273
150,2,GPFA,2,5.60813630489966908E-01,9.19753617401595277E-05,24.72987527739425,3.5890128352971593,3:06.40,54,107,186.0861,183.0672,178.7422
250,5,GPFA,3,5.60809394986042764E-01,9.11822773802379552E-05,24.730049766774332,3.589038158701249,15:13.98,54,107,913.6594,903.4938,888.2608
150,10,GPFA,1,5.60813630487583037E-01,8.95121837725527508E-05,24.729875277378294,3.5890128352948434,2:19.18,54,107,138.8582,137.2108,133.5138
150,5,GPFA,1,5.60813630489389370E-01,9.05713829772393015E-05,24.729875277390679,3.5890128352966411,2:07.30,54,107,126.9805,125.4802,122.0799
250,2,GPFA,4,5.60809395002360156E-01,9.04928721887189802E-05,24.730049767387229,3.5890381587901978,26:01.48,54,107,1561.1661,1545.9310,1525.6711
150,5,GPFA,2,5.60813630489389370E-01,9.05713829772393015E-05,24.729875277390679,3.5890128352966411,2:09.23,54,107,128.9003,127.2107,123.7632
250,1,FFTW,3,5.60809394951159113E-01,9.19817900653423307E-05,24.730049766910387,3.5890381587209945,14:52.55,54,107,892.2314,864.4110,832.7334
150,2,FFTW,2,5.60813630489967130E-01,9.22134298396569028E-05,24.729875277319749,3.5890128352863471,1:34.77,54,107,94.4630,90.5987,86.2229
150,15,FFTW,3,5.60813630488357417E-01,9.27320548779243543E-05,24.729875277364538,3.5890128352928472,1:00.60,54,107,60.2769,58.0097,54.8989
250,2,FFTW,2,5.60809395002360045E-01,9.05109793090529851E-05,24.730049767521585,3.5890381588096969,9:10.17,54,107,549.8383,532.1832,510.9608
250,15,GPFA,1,5.60809395000495314E-01,9.03823702792689194E-05,24.730049767143438,3.5890381587548168,17:09.30,54,107,1028.9789,1016.8411,994.1199
250,1,FFTW,1,5.60809394951158890E-01,9.20196014380826469E-05,24.730049767024436,3.5890381587375462,14:30.08,54,107,869.7635,842.1141,810.3899
250,15,GPFA,4,5.60809395000495314E-01,9.03823702792689194E-05,24.730049767143438,3.5890381587548168,17:14.66,54,107,1034.3358,1022.0239,1005.0863
250,2,GPFA,3,5.60809395002360156E-01,9.04928721887189802E-05,24.730049767387229,3.5890381587901978,25:39.57,54,107,1539.2473,1523.1644,1502.8969
150,1,FFTW,1,5.60813630483392500E-01,8.89192080186921089E-05,24.729875277422011,3.5890128353011881,2:18.45,54,107,138.1392,132.7256,125.8129
250,15,FFTW,3,5.60809395000495647E-01,9.03358708702678214E-05,24.73004976750369,3.5890381588070994,5:49.90,54,107,349.5820,338.4211,321.5894
250,2,GPFA,2,5.60809395002360156E-01,9.04928721887189802E-05,24.730049767387229,3.5890381587901978,26:02.54,54,107,1562.2125,1545.5968,1525.2466
150,2,GPFA,4,5.60813630489966908E-01,9.19753617401595277E-05,24.72987527739425,3.5890128352971593,3:14.47,54,107,194.1558,191.0538,186.5937
250,15,FFTW,2,5.60809395000495758E-01,9.03561863028618098E-05,24.730049767201272,3.5890381587632101,5:48.14,54,107,347.8133,337.0833,320.9693
250,10,GPFA,1,5.60809395002060396E-01,8.99458243398043507E-05,24.73004976732442,3.5890381587810825,15:08.45,54,107,908.1190,897.7264,882.2991
150,5,FFTW,4,5.60813630489389259E-01,9.00007982447165482E-05,24.7298752774261,3.5890128353017814,1:01.79,54,107,61.4660,58.8121,55.4501
250,1,GPFA,1,5.60809394951158668E-01,9.20634170064653585E-05,24.730049766995503,3.5890381587333473,32:11.02,54,107,1930.6901,1906.3386,1874.8362
