N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
150,1,FFTW,1,0.5608136304833925,8.89192080186921e-05,24.729875277422007,3.589012835301188,2:18.45,54,107,138.1392,132.7256,125.8129
150,1,FFTW,2,0.5608136304833925,8.888620076763472e-05,24.729875277341865,3.5890128352895565,2:20.98,54,107,140.6392,134.7804,127.8311
150,1,FFTW,3,0.5608136304833924,8.892311830611961e-05,24.72987527741928,3.5890128353007915,2:19.89,54,107,139.5716,133.6074,126.6867
150,1,FFTW,4,0.5608136304833925,8.89192080186921e-05,24.729875277422007,3.589012835301188,2:18.34,54,107,138.0155,132.5721,125.6627
150,1,GPFA,1,0.5608136304833926,8.89258094354544e-05,24.729875277402368,3.589012835298337,4:47.55,54,107,287.2354,282.5416,275.7074
150,1,GPFA,2,0.5608136304833926,8.89258094354544e-05,24.729875277402368,3.589012835298337,4:49.88,54,107,289.5636,284.6206,277.7832
150,1,GPFA,3,0.5608136304833926,8.89258094354544e-05,24.729875277402368,3.589012835298337,4:49.16,54,107,288.8524,284.0291,277.192
150,1,GPFA,4,0.5608136304833926,8.89258094354544e-05,24.729875277402368,3.589012835298337,4:49.54,54,107,289.2239,284.2948,277.4519
150,2,FFTW,1,0.5608136304899671,9.266027409357937e-05,24.729875277365625,3.5890128352930044,1:41.73,54,107,101.4123,97.009,92.5589
150,2,FFTW,2,0.5608136304899671,9.221342983965689e-05,24.72987527731975,3.589012835286347,1:34.77,54,107,94.463,90.5987,86.2229
150,2,FFTW,3,0.5608136304899671,9.266034618227788e-05,24.729875277373665,3.589012835294171,1:36.00,54,107,95.6863,91.8142,87.4281
150,2,FFTW,4,0.5608136304899671,9.226902154079929e-05,24.7298752774072,3.589012835299038,1:34.26,54,107,93.9542,90.0481,85.6543
150,2,GPFA,1,0.5608136304899669,9.197536174015951e-05,24.72987527739425,3.5890128352971598,3:18.31,54,107,197.9911,194.3744,189.9936
150,2,GPFA,2,0.5608136304899669,9.197536174015951e-05,24.72987527739425,3.5890128352971598,3:06.40,54,107,186.0861,183.0672,178.7422
150,2,GPFA,3,0.5608136304899669,9.197536174015951e-05,24.72987527739425,3.5890128352971598,3:19.17,54,107,198.8498,195.2377,190.8231
150,2,GPFA,4,0.5608136304899669,9.197536174015951e-05,24.72987527739425,3.5890128352971598,3:14.47,54,107,194.1558,191.0538,186.5937
