N,OMP,EXE,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
150,15,ifdda,2,0.56081363048870414,8.4224744815257835E-005,2.4729875277379131E-011,0:56.63,54,110,56.325000000000003     ,45.676000000000002     
250,1,ifdda,2,0.56080939496951721,8.1944849556218939E-005,2.4730049766541902E-011,13:24.13,54,110,803.19399999999996     ,743.35000000000002     
250,15,ifdda,3,0.56080939499846283,8.1591603969089204E-005,2.4730049767309975E-011,3:55.74,54,110,234.52799999999999     ,201.62400000000000     
250,2,ifdda,3,0.56080939497273985,8.4444875129056725E-005,2.4730049767614481E-011,8:10.72,54,110,489.70699999999999     ,433.06200000000001     
150,1,ifdda,3,0.56081363047393595,8.5051033562893116E-005,2.4729875277367964E-011,2:25.54,54,110,145.16999999999999     ,131.32700000000000     
150,22,ifdda,1,0.56081363048818977,8.6263305475837223E-005,2.4729875277377897E-011,1:15.20,54,110,74.837000000000003     ,58.817000000000000     
150,15,ifdda,3,0.56081363048870403,8.4366174131446484E-005,2.4729875277413469E-011,0:56.17,54,110,55.817999999999998     ,45.680999999999997     
250,1,ifdda,1,0.56080939496951721,8.1946429322430353E-005,2.4730049766688559E-011,12:33.92,54,110,753.00199999999995     ,693.29899999999998     
150,22,ifdda,3,0.56081363048818977,8.6197023314090474E-005,2.4729875277372733E-011,1:13.41,54,110,73.034999999999997     ,53.207000000000001     
250,22,ifdda,2,0.56080939499812499,8.3127299170280094E-005,2.4730049767309064E-011,4:09.02,54,110,247.94200000000001     ,209.36600000000001     
150,1,ifdda,2,0.56081363047393618,8.5141846427972380E-005,2.4729875277400366E-011,2:30.23,54,110,149.82800000000000     ,135.17900000000000     
250,5,ifdda,1,0.56080939498227678,8.4188916083328255E-005,2.4730049767426414E-011,4:37.48,54,110,276.26799999999997     ,241.41900000000001     
250,5,ifdda,2,0.56080939498227689,8.4218090543708611E-005,2.4730049768114689E-011,4:38.93,54,110,277.68000000000001     ,242.12700000000001     
150,15,ifdda,1,0.56081363048870403,8.3842319174377725E-005,2.4729875277386101E-011,0:57.74,54,110,57.386000000000003     ,45.707999999999998     
250,1,ifdda,3,0.56080939496951721,8.1944849556218939E-005,2.4730049766541902E-011,12:28.76,54,110,747.72000000000003     ,687.98800000000006     
250,15,ifdda,1,0.56080939499846283,8.1645645912208127E-005,2.4730049766989737E-011,4:13.88,54,110,252.75700000000001     ,218.22300000000001     
150,5,ifdda,3,0.56081363049094091,8.6085870669164112E-005,2.4729875277386618E-011,0:59.36,54,110,59.028999999994994     ,48.639999999999418     
150,2,ifdda,1,0.56081363048872634,8.6519892000105130E-005,2.4729875277380175E-011,1:42.17,54,110,101.76500000000000     ,88.802000000000007     
