N,FFT,OMP,first_residual,last_residual,Qext,elapsed_time,num_iterations
150,FFTMKL,1,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,3:05.91,54
150,FFTMKL,2,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:39.07,54
150,FFTMKL,5,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:27.63,54
150,FFTMKL,10,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:28.28,54
150,FFTMKL,15,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:29.16,54
150,GPFAFT,1,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,5:18.35,54
150,GPFAFT,2,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:56.48,54
150,GPFAFT,5,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:46.84,54
150,GPFAFT,10,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:47.06,54
150,GPFAFT,15,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:47.14,54
250,FFTMKL,1,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,14:28.29,54
250,FFTMKL,2,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,12:39.60,54
250,FFTMKL,5,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:51.87,54
250,FFTMKL,10,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:53.19,54
250,FFTMKL,15,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:50.58,54
250,GPFAFT,1,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,24:44.99,54
250,GPFAFT,2,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,23:05.36,54
250,GPFAFT,5,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:17.94,54
250,GPFAFT,10,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:18.79,54
250,GPFAFT,15,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:18.45,54
